DateTime,AddedIPs,RemovedIPs
1487053322,11,14
1487056923,21,11
1487060522,8,4
1487064122,7,6
1487068022,9,5
1487071622,6,8
1487075222,11,6
1487079122,17,12
1487082721,4,7
1487086323,3,8
1487089922,4,9
1487093522,10,10
1487097122,4,3
1487100722,6,4
1487104322,3,5
1487108222,3,6
1487112121,5,2
1487115722,5,6
1487119322,5,4
1487122922,8,4
1487126522,3,7
1487130121,3,6
1487133721,8,5
1487137321,14,3
1487140922,4,9
1487144522,5,18
1487148121,4,3
1487151722,10,8
1487155323,3,10
1487158923,6,6
1487162523,4,12
1487166123,5,25
1487169724,9,6
1487173325,8,2
1487176924,4,7
1487180524,4,15
1487184124,8,4
1487188025,6,8
1487191624,6,2
1487195222,5,3
1487198823,11,7
1487202425,5,4
1487206028,11,8
1487209627,8,7
1487213223,9,2
1487216828,8,4
1487220423,4,11
1487224024,13,11
1487227625,13,4
1487231225,7,6
1487234823,8,5
1487238423,1,11
1487242033,6,3
1487245625,6,5
1487249230,10,4
1487252824,8,4
1487256721,8,7
1487260322,6,10
1487263922,11,3
1487267522,7,5
1487271422,9,9
1487275022,7,4
1487278622,4,7
1487282221,3,6
1487285822,5,11
1487289422,5,6
1487293025,3,7
1487296630,13,9
1487300224,20,9
1487303824,9,9
1487307426,4,6
1487311025,12,14
1487314623,3,11
1487318224,6,7
1487322128,6,8
1487326022,6,5
1487329921,6,7
1487333521,9,7
1487337121,11,7
1487340721,4,7
1487344321,7,9
1487347922,5,4
1487351522,6,6
1487355121,7,11
1487358721,8,4
1487362322,6,8
1487365922,6,1
1487369522,3,7
1487373122,6,4
1487376724,3,3
1487380325,8,3
1487383927,4,16
1487387524,15,22
1487391125,7,3
1487394725,3,8
1487398325,8,6
1487401927,8,7
1487405522,6,8
1487409122,10,5
1487412722,3,3
1487416321,3,4
1487419922,7,4
1487423521,4,8
1487427123,5,3
1487430722,1,4
1487434322,11,9
1487437922,4,5
1487441521,8,5
1487445121,2,8
1487448722,6,6
1487452322,5,5
1487455922,2,4
1487459521,3,4
1487463121,5,4
1487466721,1,9
1487470321,5,4
1487473922,6,17
1487477522,20,7
1487481122,4,7
1487484721,5,10
1487488321,0,9
1487492222,7,7
1487495823,3,10
1487499422,3,5
1487503021,3,4
1487506622,2,8
1487510222,8,7
1487513821,0,5
1487517422,3,4
1487521021,3,9
1487524622,8,7
1487528222,6,5
1487531822,3,2
1487535422,7,4
1487539022,5,5
1487542622,4,4
1487546222,4,3
1487549823,13,5
1487553422,4,2
1487557022,3,4
1487560621,13,11
1487564221,8,15
1487567821,2,4
1487571421,3,4
1487575022,4,1
1487578622,1,6
1487582222,13,1
1487585822,5,5
1487589422,7,2
1487593322,13,9
1487596922,13,5
1487600521,4,2
1487604122,7,3
1487607722,7,6
1487611321,6,4
1487614921,5,7
1487618522,5,3
1487622122,10,5
1487625722,6,6
1487629322,3,3
1487632922,4,5
1487636522,9,10
1487640122,11,4
1487643722,5,2
1487647322,10,13
1487650922,5,5
1487654522,16,2
1487658122,4,3
1487661721,4,5
1487665321,1,3
1487668921,2,8
1487672521,5,4
1487676122,8,7
1487679721,3,11
1487683321,2,12
1487686922,8,5
1487690522,9,6
1487694122,5,10
1487697721,13,6
1487701322,7,7
1487704922,6,4
1487708521,5,11
1487712122,6,4
1487715722,4,3
1487719322,4,3
1487722922,3,9
1487726521,11,10
1487730122,2,8
1487733722,3,11
1487737322,6,5
1487740922,3,19
1487744521,7,5
1487748122,6,3
1487751721,6,2
1487755322,7,3
1487758922,6,6
1487762521,6,7
1487766122,6,3
1487769723,8,3
1487773322,3,7
1487776922,5,9
1487780522,6,2
1487784122,14,13
1487787723,20,6
1487791322,12,7
1487794922,17,4
1487798522,9,6
1487802121,12,5
1487805722,17,4
1487809322,12,2
1487812922,10,9
1487816522,7,2
1487820122,14,3
1487823722,14,7
1487827322,13,3
1487830922,9,4
1487834521,9,5
1487838122,13,8
1487841722,15,9
1487845322,20,6
1487848923,9,6
1487852522,12,7
1487856122,14,10
1487859722,14,5
1487863322,17,8
1487866922,11,7
1487870822,8,15
1487874421,15,19
1487878021,21,11
1487881622,15,17
1487885222,20,9
1487888821,9,14
1487892422,21,15
1487896322,17,12
1487899923,15,13
1487903521,27,5
1487907122,15,13
1487910722,25,14
1487914322,20,13
1487917921,10,8
1487921521,10,8
1487925122,12,12
1487928723,20,15
1487932322,18,18
1487935922,15,11
1487939521,21,9
1487943121,42,13
1487946722,31,16
1487950621,25,21
1487954221,26,7
1487957822,34,11
1487961422,18,18
1487965021,33,16
1487968622,29,22
1487972221,19,12
1487975822,22,11
1487979421,17,18
1487983022,21,16
1487986622,23,16
1487990222,33,23
1487993822,18,22
1487997421,22,20
1488001021,13,20
1488004622,20,10
1488008222,13,10
1488011822,13,15
1488015422,16,17
1488019022,21,22
1488022621,29,14
1488026221,16,23
1488029821,22,46
1488033421,27,22
1488037021,15,28
1488040622,23,24
1488044227,52,34
1488047822,17,17
1488051422,8,32
1488055022,6,28
1488058622,11,20
1488062222,7,22
1488065821,6,18
1488069422,8,22
1488073022,4,23
1488076621,10,33
1488080222,4,18
1488083822,2,21
1488087422,8,14
1488091021,5,21
1488094622,7,13
1488098221,8,14
1488101821,15,16
1488105421,4,20
1488109021,8,32
1488112621,12,18
1488116222,12,20
1488119822,5,31
1488123422,9,15
1488127022,7,24
1488130621,5,48
1488134221,6,16
1488138121,9,9
1488141722,5,10
1488145322,3,8
1488148922,12,6
1488152521,8,5
1488156121,6,8
1488159721,6,6
1488163322,10,10
1488166922,7,4
1488170522,8,3
1488174122,8,8
1488177722,8,7
1488181322,12,7
1488184922,12,9
1488188521,10,15
1488192121,3,5
1488195722,4,7
1488199322,7,14
1488202922,12,11
1488206522,7,3
1488210121,10,9
1488213722,14,8
1488217322,12,3
1488220922,10,6
1488224522,8,8
1488228121,7,4
1488231721,17,4
1488235322,12,10
1488238921,8,10
1488242521,10,8
1488246122,8,6
1488249721,6,12
1488253321,3,7
1488256921,10,9
1488260521,8,7
1488264122,15,8
1488267722,13,11
1488271322,12,12
1488274921,5,10
1488278521,2,5
1488282122,6,5
1488285721,10,7
1488289322,8,12
1488292922,11,7
1488296522,15,9
1488300121,12,16
1488303721,7,12
1488307321,10,10
1488310921,6,6
1488314521,5,8
1488318121,8,18
1488321722,11,13
1488325321,8,8
1488328921,12,9
1488332522,6,8
1488336122,9,6
1488339722,6,2
1488343321,11,8
1488346922,6,6
1488350521,6,16
1488354121,5,15
1488357721,14,13
1488361322,10,5
1488364922,12,3
1488368521,7,4
1488372121,5,10
1488375721,13,6
1488379321,7,11
1488382922,13,12
1488386521,10,11
1488390122,3,6
1488393722,9,8
1488397322,4,6
1488400921,6,5
1488404521,5,8
1488408122,9,13
1488411721,15,12
1488415322,8,11
1488418922,8,8
1488422521,13,6
1488426121,9,6
1488429722,16,11
1488433322,8,7
1488436921,8,6
1488440521,8,2
1488444122,7,12
1488447722,9,10
1488451321,10,12
1488454922,9,6
1488458522,10,5
1488462122,8,14
1488465722,10,8
1488469322,10,13
1488472921,8,8
1488476521,12,2
1488480121,11,10
1488483722,15,5
1488487321,9,7
1488490922,13,5
1488494522,11,9
1488498421,10,15
1488502021,9,8
1488505621,9,9
1488509222,11,12
1488512821,21,12
1488516422,8,19
1488520022,14,8
1488523921,13,10
1488527522,11,8
1488531122,18,8
1488534721,21,12
1488538321,9,9
1488541922,6,7
1488545521,11,7
1488549121,17,5
1488552722,10,10
1488556621,14,10
1488560222,13,10
1488563821,15,11
1488567421,7,8
1488571022,12,12
1488574621,17,12
1488578222,15,7
1488582421,8,12
1488586022,14,7
1488589622,13,12
1488593222,11,9
1488596822,7,10
1488600422,7,19
1488604021,11,12
1488607621,14,14
1488611221,16,11
1488614821,12,14
1488618422,11,19
1488622022,11,19
1488625921,13,9
1488629522,7,8
1488633121,15,10
1488636722,11,15
1488640322,10,7
1488643921,20,9
1488647522,10,16
1488651121,9,9
1488654721,10,11
1488658322,10,11
1488661922,16,18
1488665522,7,16
1488669121,7,10
1488672721,12,10
1488676322,11,13
1488679922,9,11
1488683521,7,7
1488687122,10,9
1488690721,11,11
1488694321,20,14
1488697921,7,18
1488701521,13,22
1488705122,11,9
1488708722,9,11
1488712322,9,16
1488715922,8,10
1488719522,9,16
1488723122,16,9
1488726721,12,14
1488730622,10,24
1488734222,11,6
1488737822,7,9
1488741422,6,10
1488745022,8,13
1488748622,11,17
1488752221,9,7
1488755822,5,10
1488759422,8,9
1488763022,4,11
1488766622,6,13
1488770221,3,7
1488773821,13,11
1488777422,13,10
1488781022,10,16
1488784622,9,8
1488788222,9,9
1488791822,13,12
1488795422,7,9
1488799022,3,12
1488802622,9,6
1488806222,4,9
1488809822,5,19
1488813422,16,6
1488817022,10,8
1488820622,14,7
1488824222,14,8
1488827822,10,6
1488831422,11,6
1488835022,17,11
1488838622,17,10
1488842222,9,5
1488845821,12,8
1488849422,5,4
1488853022,5,7
1488856622,7,1
