DateTime,Entries,UniqueIPs
1481636225,23506,23506
1481650925,23512,23512
1481665630,23527,23527
1481680025,23571,23571
1481694425,23585,23585
1481708830,23591,23591
1481723226,23660,23660
1481737625,23702,23702
1481752028,23727,23727
1481766427,23749,23749
1481780826,23790,23790
1481795526,23828,23828
1481809925,23851,23851
1481824325,23888,23888
1481838727,23908,23908
1481853425,23927,23927
1481867825,23964,23964
1481882226,23989,23989
1481896624,24003,24003
1481911026,24031,24031
1481925425,24057,24057
1481939824,24081,24081
1481954225,24107,24107
1481968630,24131,24131
1481983025,24148,24148
1481997426,24168,24168
1482011825,24184,24184
1482026225,24201,24201
1482040627,24223,24223
1482055025,24232,24232
1482069425,24230,24230
1482083825,24281,24281
1482098532,24316,24316
1482113225,24338,24338
1482127925,24364,24364
1482142628,24467,24467
1482157029,24499,24499
1482171428,24513,24513
1482186126,24528,24528
1482200828,24565,24565
1482215525,24601,24601
1482229925,24609,24609
1482244326,24628,24628
1482258728,24671,24671
1482273126,24708,24708
1482287525,24717,24717
1482301926,24742,24742
1482316629,24792,24792
1482331027,24805,24805
1482345425,24857,24857
1482359826,24882,24882
1482374226,24893,24893
1482388625,24916,24916
1482403025,24952,24952
1482417425,24977,24977
1482431826,24995,24995
1482446225,25019,25019
1482460624,25046,25046
1482475024,25061,25061
1482489425,25071,25071
1482503825,25101,25101
1482518225,25111,25111
1482532624,25114,25114
1482547025,25129,25129
1482561425,25141,25141
1482575826,25160,25160
1482590224,25176,25176
1482604626,25195,25195
1482619025,25213,25213
1482633424,25226,25226
1482647825,25244,25244
1482662225,25276,25276
1482676625,25291,25291
1482691026,25301,25301
1482705425,25342,25342
1482719826,25376,25376
1482734230,25403,25403
1482748635,25436,25436
1482763025,25457,25457
1482777425,25482,25482
1482791825,25500,25500
1482806225,25511,25511
1482820625,25532,25532
1482835025,25568,25568
1482849425,25594,25594
1482863830,25607,25607
1482878230,25629,25629
1482892625,25644,25644
1482907025,25660,25660
1482921425,25689,25689
1482935825,25716,25716
1482950225,25749,25749
1482964625,25797,25797
1482979025,25858,25858
1482993425,25898,25898
1483008128,25941,25941
1483022524,25967,25967
1483036926,26011,26011
1483051325,26065,26065
1483065725,26095,26095
1483080126,26127,26127
1483094828,26162,26162
1483109525,26197,26197
1483124228,26220,26220
1483138624,26260,26260
1483153029,26303,26303
1483167428,26339,26339
1483181825,26381,26381
1483196225,26404,26404
1483210625,26413,26413
1483225026,26428,26428
1483239426,26453,26453
1483253828,26469,26469
1483268225,26489,26489
1483282625,26498,26498
1483297028,26510,26510
1483311425,26531,26531
1483325825,26554,26554
1483340225,26566,26566
1483354633,26582,26582
1483369025,26604,26604
1483383425,26635,26635
1483397825,26669,26669
1483412225,26714,26714
1483426628,26754,26754
1483441027,26789,26789
1483455426,26814,26814
1483469825,26838,26838
1483484226,26865,26865
1483498625,26875,26875
1483513031,26898,26898
1483527425,26924,26924
1483541827,26941,26941
1483556225,26953,26953
1483570626,26969,26969
1483585026,26993,26993
1483599425,27009,27009
1483613826,27027,27027
1483628226,27042,27042
1483642635,27056,27056
1483657026,27073,27073
1483671425,27087,27087
1483685829,27108,27108
1483700233,27134,27134
1483714628,27169,27169
1483729037,27209,27209
1483743426,27244,27244
1483757826,27289,27289
1483772227,27361,27361
1483786630,27416,27416
1483801025,27466,27466
1483815427,27490,27490
1483830133,27518,27518
1483845126,27557,27557
1483859826,27584,27584
1483874227,27614,27614
1483888627,27647,27647
1483903326,27662,27662
1483918325,27670,27670
1483932726,27687,27687
1483947131,27709,27709
1483961827,27765,27765
1483976526,27787,27787
1483991226,27806,27806
1484005632,27852,27852
1484020033,27906,27906
1484034427,27940,27940
1484048826,27989,27989
1484063528,28022,28022
1484077927,28047,28047
1484092326,28085,28085
1484106725,28115,28115
1484121126,28151,28151
1484135526,28222,28222
