DateTime,Entries,UniqueIPs
1481626802,2927,2927
1481641202,2961,2961
1481655602,2957,2957
1481670002,2939,2939
1481684402,2939,2939
1481698802,2939,2939
1481713202,2971,2971
1481727602,3024,3024
1481742002,3015,3015
1481756402,3061,3061
1481770802,3117,3117
1481785202,3125,3125
1481799601,3098,3098
1481814002,3097,3097
1481828404,3104,3104
1481842802,3122,3122
1481857202,3128,3128
1481871602,3112,3112
1481886002,3094,3094
1481900402,3100,3100
1481914803,3098,3098
1481929202,3082,3082
1481943602,3115,3115
1481958003,3134,3134
1481972402,3159,3159
1481986802,3173,3173
1482001202,3161,3161
1482015602,3149,3149
1482030002,3162,3162
1482044402,3181,3181
1482058802,3172,3172
1482073201,3182,3182
1482087602,3159,3159
1482102002,3158,3158
1482116403,3141,3141
1482130802,3114,3114
1482145202,3118,3118
1482159602,3119,3119
1482174002,3100,3100
1482188403,3082,3082
1482202802,3053,3053
1482217202,3064,3064
1482231602,3068,3068
1482246002,3060,3060
1482260402,3061,3061
1482274802,3069,3069
1482289203,3064,3064
1482303603,3108,3108
1482318002,3155,3155
1482332402,3199,3199
1482346802,3212,3212
1482361202,3181,3181
1482375602,3178,3178
1482390002,3206,3206
1482404403,3189,3189
1482418802,3157,3157
1482433203,3158,3158
1482447601,3095,3095
1482462002,3056,3056
1482476402,3047,3047
1482490802,3036,3036
1482505203,3019,3019
1482519602,2987,2987
1482534002,2967,2967
1482548402,2960,2960
1482562802,2980,2980
1482577202,2971,2971
1482591603,2966,2966
1482606002,2939,2939
1482620403,2958,2958
1482634803,2932,2932
1482649202,2941,2941
1482663602,2937,2937
1482678002,2936,2936
1482692402,2937,2937
1482706803,2901,2901
1482721202,2899,2899
1482735603,2888,2888
1482750002,2905,2905
1482764401,2911,2911
1482778802,2903,2903
1482793201,2917,2917
1482807602,2921,2921
1482822002,2910,2910
1482836402,2940,2940
1482850802,2947,2947
1482865202,2953,2953
1482879602,2943,2943
1482894002,2971,2971
1482908402,2994,2994
1482922802,3026,3026
1482937202,3021,3021
1482951601,3017,3017
1482966002,3024,3024
1482980402,3070,3070
1482994802,3079,3079
1483009202,3104,3104
1483023602,3119,3119
1483038002,3096,3096
1483052403,3098,3098
1483066802,3057,3057
1483081202,3067,3067
1483095602,3083,3083
1483110002,3075,3075
1483124402,3067,3067
1483138802,3033,3033
1483153202,3005,3005
1483167602,2983,2983
1483182002,2995,2995
1483196403,3016,3016
1483210802,2995,2995
1483225202,2966,2966
1483239602,2952,2952
1483254002,87,87
1483268402,372,372
1483282802,665,665
1483297202,939,939
1483311602,1219,1219
1483326002,1513,1513
1483340402,1809,1809
1483354802,2090,2090
1483369202,2370,2370
1483383603,2652,2652
1483398001,2904,2904
1483412402,2965,2965
1483426802,2987,2987
1483441203,3009,3009
1483455602,3023,3023
1483470002,3008,3008
1483484402,2987,2987
1483498802,2951,2951
1483513202,2966,2966
1483527602,2970,2970
1483542002,2962,2962
1483556406,2962,2962
1483570802,2980,2980
1483585202,2954,2954
1483599602,2964,2964
1483614002,2939,2939
1483628401,2919,2919
1483642802,2897,2897
1483657202,2865,2865
1483671602,2860,2860
1483686010,2869,2869
1483700402,2849,2849
1483714802,2844,2844
1483729203,2851,2851
1483743602,2827,2827
1483758002,2821,2821
1483772402,2842,2842
1483786802,2848,2848
1483801203,2895,2895
1483815602,2893,2893
1483830002,2878,2878
1483844402,2897,2897
1483858802,2906,2906
1483873202,2919,2919
1483887602,2877,2877
1483902003,2873,2873
1483916402,2884,2884
1483930802,2884,2884
1483945203,2881,2881
1483959602,2887,2887
1483974002,2906,2906
1483988402,2889,2889
1484002802,2836,2836
1484017202,2866,2866
1484031602,2866,2866
1484046002,2891,2891
1484060402,2889,2889
1484074803,2892,2892
1484089203,2875,2875
1484103602,2874,2874
1484118003,2838,2838
1484132402,2853,2853
1484146802,2847,2847
1484161201,2837,2837
1484175602,2846,2846
1484190002,2844,2844
1484204402,2814,2814
1484218802,2800,2800
1484233202,2803,2803
1484247602,2791,2791
1484262003,2766,2766
1484276402,2760,2760
1484290801,2777,2777
1484305202,2787,2787
1484319602,2778,2778
1484334003,2754,2754
1484348402,2732,2732
1484362802,2755,2755
1484377202,2800,2800
1484391602,2795,2795
1484406001,2825,2825
1484420402,2813,2813
1484434802,2842,2842
1484449202,2843,2843
1484463602,2862,2862
1484478002,2872,2872
1484492402,2889,2889
1484506802,2920,2920
1484521202,2901,2901
1484535603,2897,2897
1484550002,2916,2916
1484564402,2954,2954
1484578802,2928,2928
1484593203,2932,2932
1484607603,2934,2934
1484622003,2919,2919
1484636403,2920,2920
1484650802,2905,2905
1484665202,2894,2894
1484679602,2898,2898
1484694002,2876,2876
1484708403,2872,2872
1484722802,2887,2887
1484737202,2879,2879
1484751602,2846,2846
1484766002,2852,2852
1484780402,2820,2820
1484794802,2804,2804
1484809202,2807,2807
1484823602,2792,2792
1484838002,2767,2767
1484852402,2740,2740
1484866803,2702,2702
1484881202,2688,2688
1484895603,2693,2693
1484910002,2705,2705
1484924403,2692,2692
1484938802,2661,2661
1484953202,2602,2602
1484967602,2565,2565
1484982003,2546,2546
1484996403,2517,2517
1485010802,2469,2469
1485025202,2425,2425
1485039602,2363,2363
1485054002,2370,2370
1485068402,2379,2379
1485082802,2348,2348
1485097202,2379,2379
1485111603,2407,2407
1485126002,2425,2425
1485140402,2470,2470
1485154802,2499,2499
1485169202,2531,2531
1485183602,2568,2568
1485198001,2606,2606
1485212402,2581,2581
1485226802,2586,2586
1485241202,2589,2589
1485255602,2588,2588
1485270002,2575,2575
1485284403,2579,2579
1485298824,2570,2570
1485313223,2570,2570
1485327621,2605,2605
1485342024,2583,2583
1485356422,2595,2595
1485370821,2601,2601
1485385227,2591,2591
1485396024,2565,2565
1485410433,2555,2555
1485424824,2541,2541
1485439229,2536,2536
1485453623,2549,2549
1485468026,2535,2535
1485482424,2515,2515
1485496826,2510,2510
1485511221,2510,2510
1485525623,2502,2502
1485540022,2475,2475
1485554425,2481,2481
1485568824,2479,2479
1485583231,2493,2493
1485597620,2489,2489
1485612019,2478,2478
1485626423,2482,2482
1485640822,2485,2485
1485655223,2497,2497
1485669632,2492,2492
1485684025,2527,2527
1485698424,2531,2531
1485712824,2548,2548
1485727225,2563,2563
1485741625,2568,2568
1485756034,2596,2596
1485770424,2608,2608
1485784825,2613,2613
1485799225,2610,2610
1485813621,2602,2602
1485828021,2577,2577
1485842427,2560,2560
1485856824,2556,2556
1485871232,2525,2525
1485885634,5056,5056
1485900045,5152,5152
1485914433,5163,5163
1485928849,5179,5179
1485943235,5176,5176
1485957665,5180,5180
1485972037,5200,5200
1485986443,5177,5177
1486000833,5144,5144
1486015246,5131,5131
1486029649,5153,5153
1486044035,2552,2552
1486058417,2486,2486
1486072822,2484,2484
1486087225,2440,2440
1486101634,2416,2416
1486116018,2421,2421
1486130424,2411,2411
1486144834,2411,2411
1486159227,2435,2435
1486173626,2407,2407
1486188029,2398,2398
1486202425,2382,2382
1486216823,2364,2364
1486245619,2081,2081
1486260026,2081,2081
1486274426,2062,2062
1486288830,2066,2066
1486303226,2069,2069
1486317628,2056,2056
1486332022,2075,2075
1486346421,2061,2061
1486360835,2074,2074
1486375225,2160,2160
1486389644,2383,2383
1486404025,2401,2401
1486418430,2394,2394
1486432823,2384,2384
1486447231,2362,2362
1486461626,2339,2339
1486476028,2333,2333
1486490425,2316,2316
1486504823,2304,2304
1486519218,2258,2258
1486533632,2211,2211
1486548024,2212,2212
1486562416,2198,2198
1486576824,2209,2209
1486591221,2188,2188
1486605625,2186,2186
1486620021,2209,2209
1486634424,2221,2221
1486648821,2222,2222
1486663221,2246,2246
1486677622,2264,2264
1486692024,2268,2268
1486706427,2284,2284
1486720823,2295,2295
1486735226,2325,2325
1486749622,2355,2355
1486764027,2362,2362
1486778456,2494,2494
1486792834,2495,2495
1486807224,2477,2477
1486821620,2415,2415
1486836022,2407,2407
1486850435,2380,2380
1486864822,2365,2365
1486879228,2379,2379
1486893620,2335,2335
1486908019,2325,2325
1486922415,2232,2232
1486936820,2155,2155
1486951221,2162,2162
1486965628,2183,2183
1486980015,2202,2202
1486994421,2202,2202
1487008820,2209,2209
1487023220,2182,2182
1487037617,2168,2168
1487052025,2270,2270
1487066421,2267,2267
1487080827,2257,2257
1487095217,2260,2260
1487109616,2332,2332
1487124021,2326,2326
1487138426,2328,2328
1487152823,2343,2343
1487167223,2339,2339
1487181625,2352,2352
1487196052,2341,2341
1487210427,2359,2359
1487224832,2379,2379
1487239223,2394,2394
1487253622,2314,2314
1487268024,2334,2334
1487282426,2336,2336
1487296827,2335,2335
1487311237,2455,2455
1487325622,2473,2473
1487340020,2459,2459
1487354423,2390,2390
1487368827,2404,2404
1487383223,2418,2418
1487397630,2416,2416
1487412021,2399,2399
1487426423,2423,2423
1487440827,2437,2437
1487455224,2360,2360
1487469625,2303,2303
1487484037,2306,2306
1487498423,2316,2316
1487512825,2308,2308
1487527222,2305,2305
1487541625,2281,2281
1487556019,2267,2267
1487570428,2247,2247
1487584825,2240,2240
1487599224,2233,2233
1487613651,2229,2229
1487628029,2215,2215
1487642421,2185,2185
1487656817,2190,2190
1487671223,2196,2196
1487685628,2211,2211
1487700026,2215,2215
1487714424,2195,2195
1487728820,2185,2185
1487743239,2182,2182
1487757621,2169,2169
1487772020,2165,2165
1487786419,2179,2179
1487800829,2155,2155
1487815224,2137,2137
1487829622,2133,2133
1487844023,2114,2114
1487858428,2133,2133
1487872825,2134,2134
1487887223,2118,2118
1487901626,2131,2131
1487916023,2145,2145
1487930424,2157,2157
1487944828,2169,2169
1487959223,2177,2177
1487973623,2166,2166
1487988039,2124,2124
1488002427,2138,2138
1488016823,2141,2141
1488031228,2163,2163
1488045622,2198,2198
1488060030,2185,2185
1488074428,2215,2215
1488088839,2238,2238
1488103224,2266,2266
1488117625,2298,2298
1488132028,2336,2336
1488146423,2335,2335
1488160821,2373,2373
1488175231,2402,2402
1488189623,2437,2437
1488204026,2470,2470
1488218426,2486,2486
1488232826,2494,2494
1488247226,2507,2507
1488261632,2559,2559
1488276024,2602,2602
1488290437,2650,2650
1488304826,2735,2735
1488319222,2739,2739
1488333628,2760,2760
1488348040,2748,2748
1488362427,2738,2738
1488376829,2739,2739
1488391226,2740,2740
1488405627,2685,2685
1488420027,2674,2674
1488434439,2661,2661
1488448828,2618,2618
1488463225,2588,2588
1488477626,2557,2557
1488492023,2519,2519
1488506426,2507,2507
1488520840,2462,2462
1488535227,2469,2469
1488556824,2475,2475
1488571227,2455,2455
1488585628,2420,2420
1488600248,213,213
1488614422,2393,2393
1488628825,2383,2383
1488643228,2373,2373
1488657622,2361,2361
1488672031,2378,2378
1488686426,2368,2368
1488700825,2372,2372
1488715223,2388,2388
1488729627,2414,2414
1488744021,2417,2417
1488758426,2437,2437
1488772823,2470,2470
1488787225,2474,2474
1488801625,2478,2478
1488816030,2514,2514
1488830433,2504,2504
