DateTime,AddedIPs,RemovedIPs
1485996631,6,0
1486003831,5,23
1486010431,2,83
1486015231,1,0
1486021232,1,35
1486028431,6,16
1486035632,8,19
1486041031,1,38
1486049431,4,0
1486055431,6,0
1486063231,152,27
1486070432,9,3
1486078232,13,14
1486084230,21,11
1486090832,2,14
1486096231,7,0
1486101630,4,43
1486107631,21,0
1486113030,0,16
1486119631,4,12
1486125633,6,22
1486131032,6,8
1486137632,7,0
1486143631,1,11
1486149031,105,8
1486154431,12,10
1486162232,2,22
1486169432,15,10
1486176632,28,10
1486183831,4,25
1486190436,8,0
1486197638,36,36
1486204235,1,24
1486209635,3,19
1486215636,4,0
1486223440,10,23
1486229436,7,0
1486234837,1,20
1486240236,2,0
1486246236,13,8
1486252236,2,21
1486258836,9,18
1486266036,5,10
1486273235,5,0
1486280435,1,33
1486287636,1,13
1486294237,10,10
1486300236,4,20
1486307436,2,13
1486314035,6,7
1486319436,19,11
1486325436,15,8
1486332637,3,5
1486340438,9,22
1486347036,2,0
1486353635,2,9
1486359636,4,11
1486364435,2,0
1486369836,4,4
1486375235,4,0
1486380036,6,9
1486386036,14,11
1486392035,1,7
1486396836,6,9
1486402837,5,1
1486410036,5,8
1486414236,2,6
1486420236,1,13
1486426237,7,9
1486432835,7,18
1486438236,1,0
1486443036,3,0
1486449036,3,14
1486455036,2,7
1486459837,2,5
1486465236,3,0
1486471236,3,5
1486477238,7,0
1486484435,1,9
1486491637,7,8
1486498238,4,4
1486505436,1,17
1486511436,1,12
1486517436,4,10
1486522836,3,5
1486527635,1,33
1486533036,3,8
1486539036,4,9
1486545036,6,13
1486549836,5,15
1486555235,2,14
1486561236,1,13
1486568436,7,6
1486575036,0,5
1486580435,4,18
1486586436,6,8
1486591836,1,9
1486599035,5,7
1486606235,2,7
1486612836,3,12
1486618235,0,15
1486624235,5,7
1486630836,3,7
1486636236,0,10
1486641636,1,17
1486647636,0,11
1486654836,0,3
1486660835,2,18
1486666836,3,8
1486672836,0,20
1486678835,3,6
1486684236,1,8
1486690235,3,14
1486695035,2,7
1486700436,6,7
1486705838,1,9
1486711835,4,14
1486717236,2,4
1486722636,1,3
1486728037,3,1
1486733438,3,11
1486739435,2,4
1486746035,2,2
1486751435,2,6
1486757436,3,5
1486762237,0,12
1486767636,5,3
1486773037,3,5
1486778436,1,5
1486784437,2,12
1486789236,0,7
1486794036,3,6
1486800036,4,10
1486805435,5,0
1486810236,1,10
1486816235,2,5
1486822235,0,2
1486827039,0,9
1486831835,5,11
1486837235,3,6
1486842636,4,3
1486848036,3,7
1486853435,2,8
1486859435,3,14
1486864836,1,4
1486870235,1,5
1486875635,2,17
1486881036,2,6
1486886436,0,6
1486891836,1,6
1486896636,3,14
1486902035,1,5
1486908636,1,9
1486915235,0,3
1486920636,4,6
1486926036,1,4
1486931436,6,10
1486937456,3,5
1486942835,5,3
1486947036,1,4
1486953635,0,7
1486960835,4,6
1486967436,5,10
1486973436,6,0
1486980643,7,12
1486987235,4,8
1486992635,3,4
1486998039,2,9
1487003436,5,4
1487008835,4,7
1487014236,3,3
1487019637,4,4
1487025036,9,3
1487030436,2,6
1487036435,3,7
1487044236,1,7
1487050235,3,4
1487055636,3,3
1487061636,2,2
1487067036,5,3
1487071836,2,5
1487077236,1,14
1487082636,1,9
1487088036,5,6
1487093436,2,1
1487098235,0,9
1487103635,4,3
1487109636,5,6
1487115036,1,3
1487121636,1,5
1487129438,4,5
1487134235,6,18
1487140235,1,0
1487145035,1,6
1487150435,8,0
1487155835,1,10
1487161236,4,10
1487167236,2,7
1487172636,0,23
1487178036,3,0
1487182835,1,9
1487188836,2,1
1487194236,1,4
1487199636,1,6
1487205035,1,8
1487211038,1,0
1487216435,4,5
1487227837,2,4
1487234436,2,7
1487241036,2,4
1487247039,1,17
1487252436,0,6
1487257236,1,6
1487262636,3,3
1487267436,2,7
1487273436,1,0
1487278837,2,8
1487284236,2,6
1487289636,6,7
1487295635,1,2
1487303436,3,5
1487308835,3,5
1487314235,0,1
1487320236,12,7
1487325636,4,9
1487331035,4,7
1487336436,0,12
1487341836,1,2
1487347236,3,2
1487352036,1,2
1487357436,4,2
1487362836,1,3
1487368836,5,3
1487374236,1,7
1487379637,0,1
1487386235,4,4
1487392836,0,2
1487397636,1,3
1487402436,3,0
1487407837,1,8
1487413236,5,5
1487419236,0,4
1487425236,0,1
1487430037,5,4
1487435436,0,2
1487440236,1,2
1487445636,1,5
1487451035,0,4
1487457036,1,6
1487462437,2,1
1487469035,8,4
1487475637,0,5
1487482237,1,11
1487487642,0,3
1487492436,3,3
1487498436,5,4
1487503835,0,2
1487509235,2,2
1487515236,3,5
1487521838,1,4
1487527235,2,6
1487532037,5,4
1487537436,5,2
1487542836,2,30
1487548836,1,40
1487554235,2,6
1487560235,3,0
1487565036,1,3
1487570436,1,3
1487575836,3,5
1487580636,2,5
1487586036,3,3
1487592035,1,1
1487598037,4,3
1487604637,2,4
1487609437,0,5
1487615436,5,5
1487620236,6,5
1487626236,4,1
1487631036,1,4
1487636438,1,0
1487642435,3,5
1487647237,2,11
1487653235,0,4
1487658635,1,0
1487663436,1,7
1487669436,1,0
1487674236,2,10
1487680237,3,4
1487686836,4,4
1487693435,3,2
1487700036,3,2
1487704836,4,2
1487716237,3,10
1487721636,4,6
1487726435,4,3
1487733056,2,13
1487738435,2,0
1487743235,3,7
1487748036,3,1
1487754035,2,2
1487758836,1,2
1487764835,5,17
1487770836,2,0
1487775035,1,0
1487780435,1,4
1487785835,4,0
1487791236,0,11
1487796036,1,0
1487801435,5,2
1487807436,0,18
1487813436,1,0
1487818835,3,0
1487824236,3,1
1487829036,2,12
1487839835,1,6
1487845235,3,3
1487850036,1,0
1487855436,0,4
1487861436,3,5
1487866837,3,0
1487872235,3,0
1487877036,1,0
1487882435,1,0
1487887836,4,0
1487893237,2,13
1487898636,2,3
1487904635,1,0
1487910636,1,0
1487915435,2,9
1487920835,1,0
1487926236,7,0
1487931636,2,17
1487947838,6,0
1487953837,4,3
1487959236,0,7
1487964036,1,7
1487969436,1,1
1487974836,1,10
1487980237,0,20
1487985037,1,4
1487991635,3,0
1487996435,0,1
1488001836,0,9
1488006635,2,9
1488012635,7,5
1488018036,0,2
1488023436,2,6
1488028835,3,6
1488034237,1,9
1488040236,0,5
1488045636,3,7
1488051036,4,14
1488055836,0,6
1488060637,1,7
1488066036,5,60
1488071438,1,3
1488078035,0,2
1488082838,1,7
1488088238,0,2
1488093036,1,1
1488098436,4,7
1488104436,1,6
1488109237,1,6
1488115235,1,1
1488120636,1,1
1488126036,3,2
1488131436,1,6
1488136836,2,0
1488142236,3,3
1488147037,2,7
1488152436,0,5
1488158435,0,1
1488163836,10,2
1488169835,2,5
1488175235,1,7
1488180035,2,1
1488185435,3,4
1488190835,0,4
1488196236,1,4
1488202236,4,4
1488208235,2,3
1488212436,1,4
1488218436,1,5
1488223235,2,1
1488228035,2,4
1488234036,1,2
1488239435,0,4
1488245436,4,6
1488250836,2,1
1488255635,0,2
1488261035,3,3
1488266435,1,1
1488271835,0,3
1488277238,3,0
1488283236,5,3
1488288635,0,10
1488293436,2,2
1488299436,0,4
1488304835,2,2
1488309636,5,2
1488315636,1,14
1488319836,5,11
1488326435,3,0
1488331836,0,2
1488336635,0,11
1488342635,2,14
1488347436,3,15
1488352835,1,4
1488357635,1,7
1488363035,5,6
1488368435,1,6
1488374435,0,8
1488379835,1,3
1488385236,5,7
1488390636,2,9
1488396032,1,8
1488401432,1,4
1488406232,4,7
1488412232,0,14
1488417632,0,9
1488423034,3,0
1488428431,0,7
1488433231,1,8
1488438630,1,8
1488444031,1,9
1488449431,3,4
1488455432,2,3
1488460833,4,7
1488465632,2,2
1488471632,0,10
1488476431,0,2
1488481831,1,8
1488487231,8,7
1488492632,2,26
1488498632,1,0
1488504031,14,11
1488509431,0,7
1488514832,1,12
1488520231,5,0
1488525632,9,3
1488531031,1,4
1488536432,1,3
1488541832,6,4
1488547231,2,5
1488552631,0,6
1488558632,0,5
1488563431,3,4
1488568832,1,7
1488573631,0,6
1488579633,0,6
1488585032,3,3
1488589831,1,9
1488595831,1,9
1488601233,1,0
1488606031,2,3
1488610831,0,5
1488614429,1,0
1488618032,1,20
1488622231,2,4
1488627631,1,3
1488638431,6,9
1488644435,1,8
1488649232,0,13
1488655232,1,0
1488660031,5,9
1488665431,1,8
1488674432,0,27
1488680432,3,3
1488684632,1,5
1488691831,4,14
1488695429,1,5
1488699631,0,9
1488709232,1,5
1488713432,2,9
1488717631,0,18
1488723031,0,15
1488726029,1,0
1488729631,2,0
1488733228,0,7
1488736832,1,0
1488740429,1,12
1488744631,2,3
1488751232,0,12
1488756031,2,7
1488761430,3,17
1488771631,0,4
1488777031,1,4
1488780629,1,0
1488783631,0,19
1488790831,0,5
1488794429,3,0
1488802229,8,5
1488808234,1,18
1488813032,1,0
1488819032,5,6
1488823831,1,7
1488829831,0,12
1488834633,1,1
1488840633,2,6
