DateTime,Entries,UniqueIPs
1486084230,1312,1312
1486090832,1294,1294
1486096231,1312,1312
1486101630,1302,1302
1486107631,1331,1331
1486113030,1317,1317
1486119631,1345,1345
1486125633,1357,1357
1486131032,1314,1314
1486137632,1337,1337
1486143631,1311,1311
1486149031,1416,1416
1486154431,1437,1437
1486162232,1402,1402
1486169432,1380,1380
1486176632,1351,1351
1486183831,1327,1327
1486190436,1338,1338
1486197638,1272,1272
1486204235,1258,1258
1486209635,1254,1254
1486215636,1256,1256
1486223440,1228,1228
1486229436,1289,1289
1486234837,1306,1306
1486240236,1324,1324
1486246236,1347,1347
1486252236,1325,1325
1486258836,1284,1284
1486266036,1261,1261
1486273235,1175,1175
1486280435,1166,1166
1486287636,1150,1150
1486294237,1179,1179
1486300236,1143,1143
1486307436,1133,1133
1486314035,1136,1136
1486319436,1182,1182
1486325436,1220,1220
1486332637,1254,1254
1486340438,1232,1232
1486347036,1192,1192
1486353635,1167,1167
1486359636,1148,1148
1486364435,1111,1111
1486369836,1117,1117
1486375235,1115,1115
1486380036,1127,1127
1486386036,1127,1127
1486392035,1128,1128
1486396836,1177,1177
1486402837,1146,1146
1486410036,1136,1136
1486414236,1160,1160
1486420236,1206,1206
1486426237,1147,1147
1486432835,1172,1172
1486438236,1157,1157
1486443036,1192,1192
1486449036,1225,1225
1486455036,1240,1240
1486459837,1220,1220
1486465236,1219,1219
1486471236,1193,1193
1486477238,1199,1199
1486484435,1204,1204
1486491637,1167,1167
1486498238,1181,1181
1486505436,1185,1185
1486511436,1137,1137
1486517436,1093,1093
1486522836,1089,1089
1486527635,1121,1121
1486533036,1173,1173
1486539036,1216,1216
1486545036,1226,1226
1486549836,1204,1204
1486555235,1213,1213
1486561236,1213,1213
1486568436,1175,1175
1486575036,1162,1162
1486580435,1172,1172
1486586436,1207,1207
1486591836,1188,1188
1486599035,1155,1155
1486606235,1085,1085
1486612836,1085,1085
1486618235,1094,1094
1486624235,1072,1072
1486630836,1047,1047
1486636236,1036,1036
1486641636,1037,1037
1486647636,1020,1020
1486654836,958,958
1486660835,955,955
1486666836,970,970
1486672836,962,962
1486678835,952,952
1486684236,943,943
1486690235,944,944
1486695035,991,991
1486700436,1027,1027
1486705838,1008,1008
1486711835,1018,1018
1486717236,1056,1056
1486722636,1080,1080
1486728037,1082,1082
1486733438,1079,1079
1486739435,1058,1058
1486746035,1092,1092
1486751435,1099,1099
1486757436,1118,1118
1486762237,1140,1140
1486767636,1163,1163
1486773037,1147,1147
1486778436,1163,1163
1486784437,1129,1129
1486789236,1127,1127
1486794036,1112,1112
1486800036,1067,1067
1486805435,1032,1032
1486810236,1038,1038
1486816235,1025,1025
1486822235,981,981
1486827039,976,976
1486831835,981,981
1486837235,996,996
1486842636,1021,1021
1486848036,1101,1101
1486853435,1146,1146
1486859435,1132,1132
1486864836,1130,1130
1486870235,1122,1122
1486875635,1131,1131
1486881036,1131,1131
1486886436,1124,1124
1486891836,1097,1097
1486896636,1087,1087
1486902035,1078,1078
1486908636,1092,1092
1486915235,1103,1103
1486920636,1111,1111
1486926036,1126,1126
1486931436,1152,1152
1486937456,1194,1194
1486942835,1189,1189
1486947036,1172,1172
1486960835,1179,1179
1486967436,1178,1178
1486973436,1184,1184
1486980643,1179,1179
1486987235,1127,1127
1486992635,1116,1116
1486998039,1079,1079
1487003436,1120,1120
1487008835,1167,1167
1487014236,1188,1188
1487019637,1223,1223
1487025036,1262,1262
1487030436,1272,1272
1487036435,1255,1255
1487044236,1183,1183
1487050235,1187,1187
1487055636,1183,1183
1487061636,1152,1152
1487067036,1145,1145
1487071836,1125,1125
1487077236,1072,1072
1487082636,1056,1056
1487088036,1038,1038
1487093436,1043,1043
1487098235,1090,1090
1487103635,1161,1161
1487109636,1226,1226
1487115036,1224,1224
1487121636,1203,1203
1487129438,1079,1079
1487134235,1037,1037
1487140235,1018,1018
1487145035,1016,1016
1487150435,1056,1056
1487155835,1076,1076
1487161236,1077,1077
1487167236,1068,1068
1487172636,1105,1105
1487178036,1129,1129
1487182835,1156,1156
1487188836,1200,1200
1487194236,1247,1247
1487199636,1302,1302
1487205035,1312,1312
1487211038,1295,1295
1487216435,1288,1288
1487222436,1272,1272
