DateTime,AddedIPs,RemovedIPs
1486396562,31,16
1486400163,20,18
1486403762,24,35
1486407363,18,0
1486410963,27,15
1486414563,6,24
1486418162,21,66
1486421763,23,0
1486425363,21,39
1486428963,13,0
1486432564,29,29
1486436163,37,39
1486439762,29,0
1486443363,22,29
1486446962,16,45
1486450562,29,46
1486454162,41,25
1486457763,18,36
1486461362,30,30
1486464963,45,0
1486468563,94,48
1486472163,34,0
1486475763,31,105
1486479362,19,30
1486482962,27,0
1486486563,31,25
1486490162,28,20
1486493763,12,29
1486497362,33,13
1486500962,18,26
1486504562,16,0
1486508162,30,63
1486511762,19,0
1486515363,6,23
1486518963,7,86
1486522563,26,0
1486526162,16,46
1486529763,21,25
1486533363,24,0
1486536962,24,50
1486540562,21,0
1486544163,29,35
1486547762,35,39
1486551362,41,144
1486554962,38,0
1486558563,25,46
1486562162,23,21
1486565763,24,0
1486569362,25,59
1486572962,49,20
1486576563,59,0
1486580163,28,20
1486583763,37,19
1486587363,17,12
1486590963,22,26
1486594562,43,34
1486598162,24,53
1486601763,13,33
1486605363,9,0
1486608962,20,71
1486612563,21,0
1486616162,26,49
1486619762,17,24
1486623363,21,16
1486626963,25,25
1486630563,19,26
1486634162,64,35
1486637762,39,0
1486641363,21,30
1486644963,20,52
1486648562,26,0
1486652162,18,58
1486655762,25,0
1486659363,28,52
1486662962,22,78
1486666562,20,0
1486670162,18,40
1486673764,15,32
1486677362,21,0
1486680962,38,43
1486684563,21,0
1486688162,5,19
1486691762,18,27
1486695362,6,0
1486698963,16,26
1486702563,24,24
1486706163,21,52
1486709762,29,0
1486713363,22,44
1486716962,45,73
1486720562,23,37
1486724164,19,19
1486727762,31,0
1486731363,23,24
1486734962,26,41
1486738563,21,0
1486742163,50,43
1486745763,54,18
1486749363,30,0
1486752962,20,41
1486756562,32,0
1486760163,7,39
1486763762,21,34
1486767362,35,23
1486770962,10,0
1486774563,15,32
1486778163,29,0
1486781762,32,37
1486785362,17,26
1486788963,35,26
1486792563,15,27
1486796162,26,0
1486799762,10,15
1486803363,25,37
1486806962,25,19
1486810562,34,32
1486814163,14,50
1486817763,27,0
1486821362,33,23
1486824962,28,21
1486828563,29,97
1486832162,17,0
1486835762,33,38
1486839363,54,0
1486842962,41,37
1486846563,7,0
1486850162,32,29
1486853763,30,24
1486857363,17,26
1486864563,42,51
1486868162,29,0
1486871763,19,63
1486875362,22,0
1486878963,24,15
1486882563,24,53
1486886163,15,23
1486889762,29,23
1486893362,53,0
1486896962,62,57
1486900563,49,0
1486904162,24,44
1486907762,29,0
1486911362,28,49
1486914962,32,0
1486918562,30,60
1486922163,30,0
1486925763,16,61
1486929363,29,0
1486932962,8,58
1486936563,24,0
1486940163,31,60
1486943762,21,0
1486947362,30,37
1486950962,30,0
1486954562,33,31
1486958163,23,17
1486961763,19,44
1486965362,27,0
1486968962,29,28
1486972562,32,42
1486976163,37,0
1486979763,25,126
1486983363,43,0
1486986964,20,70
1486990562,36,0
1486994162,33,23
1486997763,31,29
1487001363,47,29
1487004962,22,21
1487008562,28,33
1487012162,36,0
1487015763,83,32
1487019362,73,0
1487022963,41,80
1487026562,35,0
1487030162,14,48
1487033762,19,0
1487037366,34,58
1487040963,32,0
1487044563,17,26
1487048162,24,22
1487051762,16,64
1487055363,27,0
1487058962,20,63
1487062562,25,0
1487066162,30,76
1487069762,39,0
1487073362,79,54
1487076962,28,24
1487080563,21,32
1487084162,22,38
1487087763,24,25
1487091363,11,32
1487094962,26,0
1487098562,26,119
1487102163,28,0
1487105763,12,80
1487109362,28,0
1487112963,30,49
1487116563,18,0
1487120162,15,46
1487123762,19,0
1487127362,28,51
1487130965,15,0
1487134563,24,20
1487138162,20,17
1487141763,28,48
1487145363,22,0
1487148963,52,49
1487152563,21,0
1487156162,21,135
1487159763,32,0
1487163362,17,54
1487166962,29,0
1487170562,30,43
1487174162,48,0
1487177763,26,25
1487181362,41,39
1487184962,22,29
1487188562,33,0
1487192163,8,10
1487195762,27,32
1487199362,27,59
1487202962,16,16
1487206563,20,0
1487210162,38,39
1487213762,31,0
1487217363,18,23
1487220962,33,40
1487224562,12,59
1487228162,40,32
1487231763,26,0
1487890562,198,1110
1487894163,54,0
1487897763,36,0
1487901362,51,0
1487904962,43,0
1487908562,35,0
1487912163,35,0
1487915762,57,0
1487919363,23,0
1487922963,16,0
1487926562,38,0
1487930163,136,0
1487933762,86,0
1487937362,48,0
1487940962,41,0
1487944562,34,0
1487948162,67,0
1487951763,64,0
1487955362,26,0
1487958962,30,0
1487962563,18,0
1487966163,32,0
1487969763,9,0
1487973362,30,0
1487976962,56,0
1487980563,12,8
1487984163,3,17
1487987764,23,50
1487991362,26,0
1487994963,19,29
1487998563,38,0
1488002164,78,61
1488005762,34,0
1488009363,31,38
1488012962,44,0
1488016563,67,86
1488020162,64,68
1488023763,45,0
1488027363,42,28
1488030963,38,23
1488034562,23,60
1488038163,34,66
1488041763,27,0
1488045363,24,44
1488048963,24,0
1488052563,38,40
1488056162,11,0
1488059763,35,73
1488063362,28,0
1488066965,13,25
1488070562,14,34
1488074163,40,23
1488077762,35,23
1488081362,31,0
1488084963,21,128
1488088562,39,51
1488092162,19,49
1488095763,38,0
1488099362,45,100
1488102962,62,42
1488106562,58,0
1488110163,28,91
1488113762,48,48
1488117363,36,0
1488120963,22,68
1488124562,38,25
1488128163,36,0
1488131762,24,44
1488135362,25,23
1488138963,34,17
1488142563,12,36
1488146162,36,0
1488149762,24,41
1488153363,20,0
1488156962,11,24
1488160563,39,36
1488164162,22,35
1488167762,34,55
1488171362,25,0
1488174962,10,25
1488178562,21,35
1488182162,21,97
1488185762,39,0
1488189362,35,106
1488192963,47,28
1488196563,64,0
1488200163,26,32
1488203762,108,85
1488207362,26,24
1488210962,30,0
1488214562,25,64
1488218162,27,21
1488221762,22,0
1488225363,28,33
1488228963,8,53
1488232562,32,0
1488236163,27,41
1488239763,14,0
1488243362,3,67
1488246964,18,30
1488250562,26,30
1488254163,18,0
1488257762,25,42
1488261363,16,0
1488264962,20,38
