DateTime,AddedIPs,RemovedIPs
1486356963,79,79
1486360562,64,66
1486364162,79,78
1486367762,116,116
1486371363,104,103
1486374962,91,93
1486378562,84,83
1486382162,78,77
1486385763,75,76
1486389363,208,208
1486392962,79,79
1486396562,86,86
1486400163,88,88
1486403762,80,79
1486407363,64,64
1486410963,95,95
1486414563,59,59
1486418162,81,81
1486421763,91,91
1486425363,89,91
1486428963,65,63
1486432564,112,113
1486436163,113,112
1486439762,76,77
1486443363,81,81
1486446962,75,76
1486450562,84,84
1486454162,109,108
1486457763,86,85
1486461362,91,91
1486464963,121,122
1486468563,167,170
1486472163,79,77
1486475763,84,84
1486479362,79,80
1486482962,91,88
1486486563,88,89
1486490162,78,78
1486493763,66,66
1486497362,94,93
1486500962,58,58
1486504562,75,75
1486508162,92,93
1486511762,86,86
1486515363,57,58
1486518963,80,82
1486522563,90,91
1486526162,72,71
1486529763,70,72
1486533363,73,70
1486536962,77,78
1486540562,68,67
1486544163,79,78
1486547762,90,89
1486551362,99,100
1486554962,110,108
1486558563,86,86
1486562162,73,73
1486565763,69,69
1486569362,76,77
1486572962,107,106
1486576563,133,134
1486580163,74,74
1486583763,85,86
1486587363,57,57
1486590963,89,89
1486594562,106,104
1486598162,72,72
1486601763,61,62
1486605363,70,70
1486608962,85,86
1486612563,75,77
1486616162,75,75
1486619762,74,73
1486623363,75,73
1486626963,74,76
1486630563,75,74
1486634162,156,155
1486637762,109,112
1486641363,77,76
1486644963,74,74
1486648562,73,72
1486652162,66,68
1486655762,83,83
1486659363,86,82
1486662962,80,80
1486666562,72,72
1486670162,79,79
1486673764,53,53
1486677362,77,77
1486680962,92,92
1486684563,82,82
1486688162,50,50
1486691762,86,87
1486695362,64,66
1486698963,62,62
1486702563,83,84
1486706163,71,69
1486709762,80,80
1486713363,69,69
1486716962,105,107
1486720562,82,81
1486724164,94,91
1486727762,84,85
1486731363,85,86
1486734962,83,82
1486738563,69,69
1486742163,125,125
1486745763,112,114
1486749363,70,69
1486752962,69,70
1486756562,78,77
1486760163,54,54
1486763762,83,84
1486767362,93,91
1486770962,54,54
1486774563,66,66
1486778163,76,77
1486781762,92,91
1486785362,72,72
1486788963,100,100
1486792563,69,69
1486796162,82,82
1486799762,64,65
1486803363,85,85
1486806962,77,76
1486810562,104,103
1486814163,77,78
1486817763,81,83
1486821362,84,83
1486824962,77,77
1486828563,83,83
1486832162,72,72
1486835762,83,82
1486839363,103,104
1486842962,102,101
1486846563,55,55
1486850162,90,90
1486853763,82,82
1486857363,76,77
1486864563,108,107
1486868162,85,86
1486871763,69,69
1486875362,82,84
1486878963,75,72
1486882563,82,84
1486886163,71,71
1486889762,79,78
1486893362,126,128
1486896962,135,135
1486900563,111,110
1486904162,82,81
1486907762,76,76
1486911362,90,89
1486914962,89,89
1486918562,89,89
1486922163,83,83
1486925763,65,65
1486929363,93,93
1486932962,56,55
1486936563,82,82
1486940163,89,89
1486943762,66,67
1486947362,67,67
1486950962,75,77
1486954562,82,83
1486958163,76,75
1486961763,75,74
1486965362,71,78
1486968962,90,85
1486972562,88,91
1486976163,88,83
1486979763,81,80
1486983363,98,98
1486986964,76,75
1486990562,80,81
1486994162,84,84
1486997763,74,73
1487001363,111,111
1487004962,73,73
1487008562,81,81
1487012162,78,78
1487015763,154,157
1487019362,136,135
1487022963,93,93
1487026562,92,91
1487030162,63,62
1487033762,63,63
1487037366,76,78
1487040963,85,87
1487044563,76,78
1487048162,77,75
1487051762,63,62
1487055363,78,79
1487058962,74,72
1487062562,76,75
1487066162,83,84
1487069762,112,110
1487073362,175,176
1487076962,78,78
1487080563,78,79
1487084162,71,69
1487087763,80,80
1487091363,74,75
1487094962,82,82
1487098562,90,89
1487102163,91,91
1487105763,64,64
1487109362,90,90
1487112963,99,99
1487116563,65,65
1487120162,63,63
1487123762,67,69
1487127362,77,78
1487130965,72,72
1487134563,88,87
1487138162,65,67
1487141763,94,92
1487145363,77,77
1487148963,121,121
1487152563,90,89
1487156162,97,98
1487159763,78,78
1487163362,70,70
1487166962,85,85
1487170562,84,83
1487174162,92,92
1487177763,75,74
1487181362,81,82
1487184962,64,65
1487188562,87,87
1487192163,45,45
1487195762,96,94
1487199362,77,77
1487202962,65,66
1487206563,75,74
1487210162,94,95
1487213762,79,81
1487217363,66,66
1487220962,84,84
1487224562,73,72
1487228162,92,93
1487231763,73,74
1487890562,280,278
1487894163,54,54
1487897763,65,66
1487901362,80,83
1487904962,79,79
1487908562,66,63
1487912163,77,81
1487915762,104,104
1487919363,81,79
1487922963,64,62
1487926562,79,81
1487930163,186,186
1487933762,134,131
1487937362,79,79
1487940962,77,77
1487944562,85,86
1487948162,126,125
1487951763,125,125
1487955362,64,66
1487958962,69,67
1487962563,62,64
1487966163,89,90
1487969763,48,46
1487973362,87,85
1487976962,131,131
1487980563,53,53
1487984163,64,64
1487987764,82,84
1487991362,74,75
1487994963,67,69
1487998563,117,116
1488002164,180,177
1488005762,111,110
1488009363,105,110
1488012962,110,108
1488016563,136,133
1488020162,109,108
1488023763,99,99
1488027363,112,112
1488030963,103,103
1488034562,77,78
1488038163,98,98
1488041763,75,75
1488045363,79,79
1488048963,72,72
1488052563,90,90
1488056162,55,56
1488059763,93,93
1488063362,82,83
1488066965,55,54
