DateTime,Entries,UniqueIPs
1486374962,298,298
1486378562,299,299
1486382162,300,300
1486385763,299,299
1486389363,299,299
1486392962,299,299
1486396562,299,299
1486400163,299,299
1486403762,300,300
1486407363,300,300
1486410963,300,300
1486414563,300,300
1486418162,300,300
1486421763,300,300
1486425363,298,298
1486428963,300,300
1486432564,299,299
1486436163,300,300
1486439762,299,299
1486443363,299,299
1486446962,298,298
1486450562,298,298
1486454162,299,299
1486457763,300,300
1486461362,300,300
1486464963,299,299
1486468563,296,296
1486472163,298,298
1486475763,298,298
1486479362,297,297
1486482962,300,300
1486486563,299,299
1486490162,299,299
1486493763,299,299
1486497362,300,300
1486500962,300,300
1486504562,300,300
1486508162,299,299
1486511762,299,299
1486515363,298,298
1486518963,296,296
1486522563,295,295
1486526162,296,296
1486529763,294,294
1486533363,297,297
1486536962,296,296
1486540562,297,297
1486544163,298,298
1486547762,299,299
1486551362,298,298
1486554962,300,300
1486558563,300,300
1486562162,300,300
1486565763,300,300
1486569362,299,299
1486572962,300,300
1486576563,299,299
1486580163,299,299
1486583763,298,298
1486587363,298,298
1486590963,298,298
1486594562,300,300
1486598162,300,300
1486601763,299,299
1486605363,299,299
1486608962,298,298
1486612563,296,296
1486616162,296,296
1486619762,297,297
1486623363,299,299
1486626963,297,297
1486630563,298,298
1486634162,299,299
1486637762,296,296
1486641363,297,297
1486644963,297,297
1486648562,298,298
1486652162,296,296
1486655762,296,296
1486659363,300,300
1486662962,300,300
1486666562,300,300
1486670162,300,300
1486673764,300,300
1486677362,300,300
1486680962,300,300
1486684563,300,300
1486688162,300,300
1486691762,299,299
1486695362,297,297
1486698963,297,297
1486702563,296,296
1486706163,298,298
1486709762,298,298
1486713363,298,298
1486716962,296,296
1486720562,297,297
1486724164,300,300
1486727762,299,299
1486731363,298,298
1486734962,299,299
1486738563,299,299
1486742163,299,299
1486745763,297,297
1486749363,298,298
1486752962,297,297
1486756562,298,298
1486760163,298,298
1486763762,297,297
1486767362,299,299
1486770962,299,299
1486774563,299,299
1486778163,298,298
1486781762,299,299
1486785362,299,299
1486788963,299,299
1486792563,299,299
1486796162,299,299
1486799762,298,298
1486803363,298,298
1486806962,299,299
1486810562,300,300
1486814163,299,299
1486817763,297,297
1486821362,298,298
1486824962,298,298
1486828563,298,298
1486832162,298,298
1486835762,299,299
1486839363,298,298
1486842962,299,299
1486846563,299,299
1486850162,299,299
1486853763,299,299
1486857363,298,298
1486864563,299,299
1486868162,298,298
1486871763,298,298
1486875362,296,296
1486878963,299,299
1486882563,297,297
1486886163,297,297
1486889762,298,298
1486893362,296,296
1486896962,296,296
1486900563,297,297
1486904162,298,298
1486907762,298,298
1486911362,299,299
1486914962,299,299
1486918562,299,299
1486922163,299,299
1486925763,299,299
1486929363,299,299
1486932962,300,300
1486936563,300,300
1486940163,300,300
1486943762,299,299
1486947362,299,299
1486950962,297,297
1486954562,296,296
1486958163,297,297
1486961763,298,298
1486965362,291,291
1486968962,296,296
1486972562,293,293
1486976163,298,298
1486979763,299,299
1486983363,299,299
1486986964,300,300
1486990562,299,299
1486994162,299,299
1486997763,300,300
1487001363,300,300
1487004962,300,300
1487008562,300,300
1487012162,300,300
1487015763,297,297
1487019362,298,298
1487022963,298,298
1487026562,299,299
1487030162,300,300
1487033762,300,300
1487037366,298,298
1487040963,296,296
1487044563,294,294
1487048162,296,296
1487051762,297,297
1487055363,296,296
1487058962,298,298
1487062562,299,299
1487066162,298,298
1487069762,300,300
1487073362,299,299
1487076962,299,299
1487080563,298,298
1487084162,300,300
1487087763,300,300
1487091363,299,299
