DateTime,AddedIPs,RemovedIPs
1486049427,2,0
1486055428,3,0
1486063227,4,12
1486070428,5,3
1486078228,7,6
1486084227,5,4
1486090828,1,2
1486096228,5,0
1486101626,3,4
1486107627,7,0
1486113027,2,1
1486119628,6,6
1486125629,2,6
1486131029,4,1
1486137628,4,0
1486143628,5,3
1486149028,4,6
1486154427,6,2
1486162228,3,6
1486169428,11,5
1486176629,3,7
1486183828,6,3
1486190432,7,0
1486197635,3,8
1486204232,5,6
1486209632,5,3
1486215633,5,0
1486223436,2,6
1486229433,6,0
1486234832,4,9
1486240232,1,0
1486246232,3,4
1486252232,4,11
1486258832,2,7
1486266032,5,6
1486273232,5,0
1486280431,1,8
1486287633,6,6
1486294233,2,3
1486300232,3,3
1486307432,4,8
1486314032,4,3
1486319432,5,8
1486325432,3,4
1486332632,5,6
1486340435,6,7
1486347032,4,0
1486353631,5,1
1486359633,4,4
1486364432,6,4
1486369832,2,6
1486375232,3,0
1486380032,4,2
1486386033,8,9
1486392032,3,6
1486396833,4,6
1486402833,3,2
1486410032,6,1
1486414232,6,1
1486420232,2,5
1486426233,2,11
1486432832,3,6
1486438232,2,0
1486443032,4,0
1486449032,3,4
1486455032,2,3
1486459833,2,1
1486465232,3,0
1486471233,2,8
1486477234,1,0
1486484431,2,7
1486491633,5,3
1486498234,3,3
1486505432,3,8
1486511433,2,2
1486517433,4,3
1486522832,4,3
1486527632,4,4
1486533032,6,3
1486539032,7,2
1486545032,6,2
1486549832,4,5
1486555232,2,3
1486561232,4,2
1486568433,2,4
1486575033,3,2
1486580432,3,4
1486586433,4,2
1486591832,3,1
1486599032,4,7
1486606231,6,1
1486612832,3,3
1486618231,2,4
1486624231,2,2
1486630832,1,5
1486636233,2,6
1486641632,3,3
1486647632,3,3
1486654832,2,0
1486660832,2,4
1486666832,4,3
1486672832,3,4
1486678832,1,2
1486684233,1,4
1486690232,6,5
1486695032,3,4
1486700432,4,2
1486705835,3,1
1486711832,2,3
1486717232,1,2
1486722632,2,0
1486728033,1,4
1486733434,3,3
1486739432,2,7
1486746031,4,1
1486751432,2,4
1486757432,5,2
1486762233,2,3
1486767633,3,4
1486773033,4,1
1486778432,1,2
1486784433,2,3
1486789232,6,3
1486794032,4,1
1486800032,2,3
1486805432,4,0
1486810232,1,3
1486816232,0,8
1486822232,1,5
1486827035,1,4
1486831832,5,4
1486837231,4,5
1486842632,5,3
1486848032,4,5
1486853432,2,2
1486859431,3,4
1486864832,2,2
1486870232,2,1
1486875632,4,4
1486881032,1,2
1486886433,4,2
