DateTime,AddedIPs,RemovedIPs
1486078228,23,22
1486084227,21,26
1486090828,24,22
1486096228,23,22
1486101626,20,19
1486107627,22,26
1486113027,22,21
1486119628,24,22
1486125629,17,20
1486131029,24,22
1486137628,23,23
1486143628,24,23
1486149028,24,23
1486154427,23,25
1486162228,21,22
1486169428,25,22
1486176629,20,23
1486183828,23,21
1486190432,24,22
1486197635,23,24
1486204232,25,25
1486209632,22,24
1486215633,26,23
1486223436,21,24
1486229433,24,22
1486234832,22,24
1486240232,20,19
1486246232,23,23
1486252232,26,24
1486258832,24,27
1486266032,22,22
1486273232,26,24
1486280431,23,25
1486287633,26,23
1486294233,23,27
1486300232,20,21
1486307432,23,19
1486314032,23,24
1486319432,21,23
1486325432,20,20
1486332632,20,17
1486340435,23,24
1486347032,18,19
1486353631,22,22
1486359633,24,23
1486364432,20,22
1486369832,19,17
1486375232,17,20
1486380032,18,18
1486386033,22,18
1486392032,23,23
1486396833,20,20
1486402833,25,26
1486410032,26,24
1486414232,22,25
1486420232,20,20
1486426233,23,24
1486432832,22,19
1486438232,20,21
1486443032,23,22
1486449032,24,26
1486455032,22,22
1486459833,23,22
1486465232,24,24
1486471233,24,24
1486477234,23,24
1486484431,24,23
1486491633,27,25
1486498234,24,25
1486505432,23,25
1486511433,23,21
1486517433,22,23
1486522832,21,23
1486527632,18,18
1486533032,24,21
1486539032,22,24
1486545032,22,22
1486549832,24,22
1486555232,20,22
1486561232,20,21
1486568433,21,22
1486575033,22,22
1486580432,20,19
1486586433,20,18
1486591832,21,25
1486599032,23,20
1486606231,22,20
1486612832,24,26
1486618231,22,22
1486624231,25,23
1486630832,18,20
1486636233,25,23
1486641632,22,23
1486647632,20,23
1486654832,19,17
1486660832,24,23
1486666832,21,22
1486672832,19,18
1486678832,23,24
1486684233,16,20
1486690232,24,18
1486695032,19,21
1486700432,22,23
1486705835,21,20
1486711832,20,22
1486717232,17,16
1486722632,22,21
1486728033,25,24
1486733434,17,19
1486739432,24,22
1486746031,21,22
1486751432,26,23
1486757432,24,25
1486762233,21,22
1486767633,22,25
1486773033,24,21
1486778432,23,23
1486784433,21,22
1486789232,22,23
1486794032,23,23
1486800032,20,19
1486805432,22,21
1486810232,21,21
1486816232,21,25
1486822232,19,17
1486827035,15,17
1486831832,24,19
1486837231,23,25
1486842632,26,24
1486848032,23,24
1486853432,24,25
1486859431,26,24
1486864832,19,21
1486870232,23,22
1486875632,25,25
1486881032,22,25
1486886433,19,16
1486891832,19,19
1486896632,25,25
1486902031,23,25
1486908633,20,21
1486915232,23,19
1486920632,22,24
1486926032,23,24
1486931432,22,20
1486937453,24,25
1486942832,23,23
1486947032,25,24
1486960831,25,25
1486967432,21,23
1486973433,24,21
1486980639,25,26
1486987231,25,25
1486992632,24,22
1486998036,23,24
1487003432,25,26
1487008831,22,24
1487014232,20,19
1487019633,22,21
1487025032,25,25
1487030433,23,25
1487036432,23,19
1487044232,26,27
1487050232,22,26
1487055632,23,21
1487061632,23,21
1487067032,24,26
1487071833,24,24
1487077232,23,21
1487082633,22,24
1487088032,23,24
1487093432,19,20
1487098232,23,19
1487103632,23,24
1487109633,23,24
1487115032,19,21
1487121633,19,18
1487129435,24,23
1487134232,22,22
1487140232,20,19
1487145032,22,23
1487150432,23,23
