DateTime,AddedIPs,RemovedIPs
1488288734,0,1
1488289215,1,2
1488289695,5,3
1488294500,1,1
1488295934,1,1
1488300494,0,2
1488300978,2,1
1488301454,1,0
1488303854,0,1
1488304338,1,0
1488305779,0,1
1488306255,1,0
1488309135,1,0
1488310574,1,0
1488313214,2,3
1488313696,1,2
1488316097,0,1
1488316593,1,0
1488317534,0,1
1488318015,1,1
1488318496,1,0
1488319458,1,0
1488319934,0,1
1488322340,0,3
1488323300,3,0
1488323774,0,1
1488324736,1,0
1488325215,0,1
1488325694,1,0
1488327861,0,1
1488328337,1,0
1488330257,2,9
1488330736,9,7
1488331229,6,9
1488331697,6,9
1488332176,12,8
1488332655,6,9
1488333133,10,11
1488334099,26,26
1488334580,9,9
1488335055,5,5
1488335535,7,3
1488336015,1,1
1488336497,1,0
1488336974,0,1
1488337455,1,0
1488338894,0,1
1488339379,1,0
1488341054,0,1
1488341538,1,0
1488342019,0,1
1488342498,1,0
1488349937,0,1
1488350414,1,0
1488351373,0,1
1488353294,1,0
1488353782,0,1
1488354254,1,0
1488354738,1,0
1488355705,0,1
1488356174,1,0
1488356655,1,2
1488357622,0,1
1488359054,1,0
1488360973,0,1
1488361466,1,0
1488363614,1,0
1488364093,0,1
1488365056,1,1
1488365780,1,0
1488366734,0,1
1488367225,1,0
1488367694,0,1
1488368653,1,0
1488370334,1,0
1488370826,0,1
1488371293,0,1
1488372254,1,0
1488373456,0,1
1488374899,2,0
1488375377,1,3
1488375855,0,2
1488380905,2,1
1488381374,0,1
1488383773,0,1
1488384255,1,0
1488389297,0,1
1488390733,1,0
1488393615,0,1
1488394094,1,0
1488395053,0,1
1488395534,1,1
1488396014,1,1
1488396493,4,1
1488396973,1,1
1488399133,0,1
1488399618,1,0
1488400573,0,1
1488401534,1,0
1488403455,0,1
1488403942,1,0
1488405383,0,1
1488406099,1,0
1488406821,0,1
1488407296,1,0
1488408256,0,1
1488408736,1,0
1488409463,0,1
1488410894,1,0
1488411373,0,1
1488411857,1,0
1488412335,0,1
1488412825,1,1
1488414254,1,0
1488415216,0,1
1488415697,1,0
1488416657,6,10
1488417134,10,3
1488417630,5,11
1488418098,8,9
1488418576,12,9
1488419056,5,11
1488419540,11,12
1488420495,19,18
1488420974,10,16
1488421457,10,6
1488421934,1,1
1488422657,2,0
1488423853,0,1
1488424336,1,0
1488425300,1,1
1488425774,1,0
1488427697,0,1
1488429137,1,0
1488431777,0,3
1488432254,4,2
1488432737,0,1
1488433697,0,1
1488434657,1,0
1488435138,0,1
1488435614,1,0
1488436094,0,1
1488436581,1,0
1488437057,0,1
1488438259,1,0
1488438733,1,1
1488440178,0,1
1488440653,1,0
1488444015,0,1
1488444738,1,0
1488447373,0,1
1488447856,4,8
1488448333,4,5
1488449061,7,7
1488449533,6,8
1488450015,6,8
1488450497,8,11
1488450980,10,7
1488451453,8,7
1488451938,10,12
1488452896,10,5
1488453377,0,1
1488453860,1,0
1488456258,0,1
1488456740,1,0
1488462987,1,0
1488465139,1,7
1488465613,12,8
1488466098,7,7
1488466574,6,4
1488467058,6,7
1488467534,9,8
1488468018,9,7
1488468493,15,10
1488468976,6,10
1488469453,6,5
1488469937,7,4
1488470654,1,2
1488471142,3,1
1488471620,2,1
1488472574,0,1
1488473054,1,0
1488474498,1,0
1488475232,0,1
1488476659,0,1
1488477133,1,2
1488477856,2,2
1488478815,0,1
1488481934,1,0
1488482417,0,1
1488482898,1,0
1488483376,0,1
1488484335,1,0
1488486255,0,1
1488487225,1,0
1488487697,0,1
1488488178,1,0
1488489626,0,1
1488490098,1,1
1488490574,1,0
1488491534,0,1
1488492254,1,0
1488493217,0,1
1488494177,1,0
1488495136,0,1
1488496098,1,0
1488496573,0,1
1488497300,2,0
1488498498,0,1
1488501139,0,1
1488502101,1,0
1488503056,3,5
1488503533,5,5
1488504029,5,6
1488504496,4,3
1488504973,8,5
1488505453,5,5
1488505935,15,15
1488506442,4,7
1488506900,4,5
1488507374,6,4
1488507859,4,1
1488508337,0,1
1488508814,1,1
1488509293,1,0
1488509777,0,1
1488510258,1,0
1488511696,0,1
1488512654,1,0
1488513133,0,1
1488513858,1,0
1488514338,2,1
1488514818,0,1
1488515295,0,1
1488516253,1,0
1488517700,0,1
1488518434,1,0
1488519373,0,1
1488519861,1,0
1488520334,0,1
1488521053,2,0
1488522014,0,2
1488522497,1,0
1488522982,0,1
1488523939,1,0
1488524897,0,1
1488525376,1,0
1488526814,0,1
1488527300,1,0
1488528496,0,1
1488529461,1,0
1488530894,0,1
1488531855,1,0
1488532337,0,1
1488532831,1,0
1488534253,0,2
1488534734,4,1
1488535695,2,3
1488536174,1,0
1488536654,0,1
1488537614,1,0
1488539298,0,1
1488541221,1,0
1488542180,0,1
1488544334,1,0
1488546734,0,1
1488547239,1,0
1488547693,1,0
1488548656,1,1
1488549138,1,2
1488551057,0,1
1488551539,1,0
1488552021,0,1
1488552498,2,0
1488552978,0,1
1488553460,2,2
1488554898,0,1
1488555373,1,0
1488555853,0,1
1488556336,1,0
1488557300,0,1
1488558739,1,0
1488561629,0,1
1488562093,2,0
1488562578,2,3
1488563054,1,0
1488564974,0,1
1488565456,1,0
1488566897,0,1
1488567373,1,0
1488567860,2,1
1488568814,1,0
1488569295,0,1
1488569773,1,0
1488570262,0,1
1488570733,1,0
1488572415,0,1
1488572897,1,0
1488573374,0,1
1488573854,1,0
1488574342,0,1
1488575298,1,0
1488575774,0,1
1488576734,2,2
1488577220,2,2
1488578185,0,1
1488578655,1,1
1488579134,1,0
1488583219,0,1
1488583944,1,0
1488585863,1,1
1488586814,1,1
1488588255,0,1
1488588732,1,0
1488589454,1,13
1488589938,14,4
1488590430,7,4
1488590898,4,6
1488591373,7,8
1488591858,14,11
1488592337,19,19
1488593301,15,15
1488593777,5,2
1488594257,4,5
1488594738,4,1
1488596654,1,0
1488597614,0,2
1488598097,1,0
1488599053,1,0
1488600261,1,0
1488601219,0,1
1488604100,0,1
1488604574,1,0
1488609855,0,2
1488610333,2,0
1488611057,0,1
1488611534,0,1
1488612015,1,0
1488612973,0,1
1488613457,1,0
1488617778,1,0
1488618254,0,1
1488627373,3,7
1488627855,8,6
1488628344,3,8
1488629298,12,7
1488629778,8,11
1488630257,14,13
1488630737,9,12
1488631217,9,5
1488631699,5,4
1488632178,4,5
1488632654,5,2
1488633136,1,1
1488633627,1,0
1488636265,1,0
1488638653,0,1
1488639138,1,1
1488640101,1,0
1488643933,0,2
1488644414,1,0
1488651374,0,1
1488652102,1,0
1488657138,0,2
1488657858,2,0
1488664096,0,2
1488664585,2,0
1488666494,0,1
1488666973,1,0
1488668894,1,0
1488669380,0,1
1488669854,0,2
1488670338,2,0
1488674174,1,0
1488675854,5,5
1488676335,2,5
1488676829,6,8
1488677294,11,11
1488677776,7,10
1488678255,9,6
1488678738,8,9
1488679228,7,7
1488679696,5,5
1488680179,2,5
1488680657,8,1
1488681134,0,2
1488681621,2,1
1488682095,1,0
1488688097,1,0
1488690028,0,1
1488690500,1,0
1488690979,0,1
1488691455,1,0
1488694095,0,1
1488694575,1,0
1488695054,0,1
1488695776,1,0
1488697458,0,1
1488700101,0,1
1488701056,1,0
1488705858,3,10
1488706334,6,5
1488706816,2,7
1488707295,14,12
1488707788,10,5
1488708255,11,10
1488708735,9,10
1488709217,11,10
1488709697,6,3
1488710172,3,3
1488710653,1,4
1488711135,4,2
1488712096,2,1
1488717619,1,0
1488718574,1,1
1488719777,0,1
1488720496,1,0
1488725300,0,2
1488726495,2,0
1488726977,1,0
1488736332,0,1
1488737301,1,0
1488737777,1,0
1488742575,0,3
1488743057,1,0
1488743536,0,1
1488744497,1,0
1488748335,0,1
1488748835,1,0
1488750736,0,1
1488751456,2,0
1488752414,0,1
1488762256,2,6
1488762738,6,5
1488763227,5,5
1488763699,3,11
1488764174,11,8
1488764657,9,6
1488765133,6,8
1488766099,12,8
1488766576,5,6
1488767294,4,6
1488767773,7,5
1488768258,3,2
1488773534,0,2
1488774018,2,0
1488777376,0,1
1488777855,0,1
1488778335,2,0
1488786257,0,1
1488787699,1,0
1488789134,0,1
1488789614,1,0
1488791054,0,1
1488792029,1,0
1488793934,0,2
1488794899,2,0
1488795373,0,1
1488795855,0,1
1488796336,2,0
1488796816,0,1
1488797295,1,0
1488798502,2,1
1488798974,2,3
1488812659,1,0
1488817455,1,0
1488817939,1,0
1488818416,0,1
1488818901,1,0
1488819652,0,2
1488820098,2,2
1488820834,2,5
1488821294,3,0
1488824174,1,0
1488826577,0,1
1488827297,1,0
1488828738,0,1
1488829215,1,0
1488830901,0,2
1488831380,2,0
1488831854,0,1
1488832341,1,0
1488833295,0,1
1488833774,1,0
1488840976,0,1
1488843859,0,2
1488844333,2,0
1488844858,0,2
1488845298,2,0
1488847217,0,1
1488847698,1,0
1488848897,2,4
1488849376,5,3
1488849856,4,4
1488850334,5,6
1488850814,5,10
1488851294,7,6
1488851790,7,9
1488852254,10,12
1488852738,9,5
