DateTime,Entries,UniqueIPs
1488310574,5246,5246
1488313214,5245,5245
1488313696,5244,5244
1488316097,5243,5243
1488316593,5244,5244
1488317534,5243,5243
1488318015,5243,5243
1488318496,5244,5244
1488319458,5245,5245
1488319934,5244,5244
1488322340,5241,5241
1488323300,5244,5244
1488323774,5243,5243
1488324736,5244,5244
1488325215,5243,5243
1488325694,5244,5244
1488327861,5243,5243
1488328337,5244,5244
1488330257,5237,5237
1488330736,5239,5239
1488331229,5236,5236
1488331697,5233,5233
1488332176,5237,5237
1488332655,5234,5234
1488333133,5233,5233
1488334099,5233,5233
1488334580,5233,5233
1488335055,5233,5233
1488335535,5237,5237
1488336015,5237,5237
1488336497,5238,5238
1488336974,5237,5237
1488337455,5238,5238
1488338894,5237,5237
1488339379,5238,5238
1488341054,5237,5237
1488341538,5238,5238
1488342019,5237,5237
1488342498,5238,5238
1488349937,5237,5237
1488350414,5238,5238
1488351373,5237,5237
1488353294,5238,5238
1488353782,5237,5237
1488354254,5238,5238
1488354738,5239,5239
1488355705,5238,5238
1488356174,5239,5239
1488356655,5238,5238
1488357622,5237,5237
1488359054,5238,5238
1488360973,5237,5237
1488361466,5238,5238
1488363614,5239,5239
1488364093,5238,5238
1488365056,5238,5238
1488365780,5239,5239
1488366734,5238,5238
1488367225,5239,5239
1488367694,5238,5238
1488368653,5239,5239
1488370334,5240,5240
1488370826,5239,5239
1488371293,5238,5238
1488372254,5239,5239
1488373456,5238,5238
1488374899,5240,5240
1488375377,5238,5238
1488375855,5236,5236
1488380905,5237,5237
1488381374,5236,5236
1488383773,5235,5235
1488384255,5236,5236
1488389297,5235,5235
1488390733,5236,5236
1488393615,5235,5235
1488394094,5236,5236
1488395053,5235,5235
1488395534,5235,5235
1488396014,5235,5235
1488396493,5238,5238
1488396973,5238,5238
1488399133,5237,5237
1488399618,5238,5238
1488400573,5237,5237
1488401534,5238,5238
1488403455,5237,5237
1488403942,5238,5238
1488405383,5237,5237
1488406099,5238,5238
1488406821,5237,5237
1488407296,5238,5238
1488408256,5237,5237
1488408736,5238,5238
1488409463,5237,5237
1488410894,5238,5238
1488411373,5237,5237
1488411857,5238,5238
1488412335,5237,5237
1488412825,5237,5237
1488414254,5238,5238
1488415216,5237,5237
1488415697,5238,5238
1488416657,5234,5234
1488417134,5241,5241
1488417630,5235,5235
1488418098,5234,5234
1488418576,5237,5237
1488419056,5231,5231
1488419540,5230,5230
1488420495,5231,5231
1488420974,5225,5225
1488421457,5229,5229
1488421934,5229,5229
1488422657,5231,5231
1488423853,5230,5230
1488424336,5231,5231
1488425300,5231,5231
1488425774,5232,5232
1488427697,5231,5231
1488429137,5232,5232
1488431777,5229,5229
1488432254,5231,5231
1488432737,5230,5230
1488433697,5229,5229
1488434657,5230,5230
1488435138,5229,5229
1488435614,5230,5230
1488436094,5229,5229
1488436581,5230,5230
1488437057,5229,5229
1488438259,5230,5230
1488438733,5230,5230
1488440178,5229,5229
1488440653,5230,5230
