DateTime,AddedIPs,RemovedIPs
1487426896,1,0
1487427377,0,3
1487427856,1,0
1487428335,2,0
1487430734,0,2
1487431215,2,1
1487432174,1,2
1487432653,2,0
1487434096,0,2
1487434578,2,0
1487436015,0,2
1487436734,2,0
1487437455,0,3
1487437934,2,0
1487438415,1,2
1487438895,2,0
1487439374,0,1
1487440334,0,2
1487441062,2,0
1487443934,0,1
1487444903,0,2
1487449214,1,1
1487450173,1,0
1487454734,0,1
1487455700,2,0
1487456173,0,1
1487456653,1,0
1487458094,0,1
1487458573,1,0
1487460494,0,1
1487460974,1,0
1487464573,0,1
1487466061,1,0
1487466497,2,0
1487466977,1,2
1487467454,3,4
1487467937,4,4
1487468413,1,0
1487468896,0,5
1487469383,4,2
1487469856,2,5
1487470334,1,1
1487470817,2,2
1487471775,0,2
1487472736,1,1
1487477777,0,1
1487478255,0,1
1487478738,1,0
1487479695,1,1
1487480187,1,0
1487480655,0,2
1487481614,1,0
1487482093,1,0
1487482573,0,2
1487483054,2,0
1487484256,0,2
1487484736,1,0
1487486180,1,0
1487488574,0,1
1487489062,1,0
1487490983,0,1
1487491453,0,1
1487492419,1,0
1487497454,0,1
1487502254,2,0
1487503214,0,1
1487503938,2,0
1487505141,0,1
1487509696,0,1
1487512857,1,0
1487514253,0,2
1487514741,2,0
1487517616,2,0
1487518096,0,1
1487518577,1,1
1487520027,0,2
1487520497,2,0
1487523389,0,1
1487523854,1,0
1487537533,1,0
1487544015,0,1
1487552907,0,2
1487553375,0,3
1487553856,2,0
1487554335,0,2
1487554815,2,1
1487555295,1,1
1487555784,1,4
1487556740,3,7
1487557223,0,2
1487558656,0,2
1487562498,0,1
1487562982,1,0
1487574496,0,1
1487586014,0,2
1487586504,2,0
1487587458,1,0
1487589379,0,2
1487589857,2,0
1487590337,0,2
1487591296,2,0
1487592499,0,2
1487592995,2,0
1487593934,0,1
1487599458,0,1
1487599933,1,0
1487610976,1,0
1487611454,1,4
1487616736,1,0
1487621540,1,1
1487630896,0,1
1487631651,1,0
1487639298,1,1
1487639775,2,4
1487640259,4,1
1487640738,2,1
1487641214,3,6
1487641693,2,1
1487642184,3,3
1487642659,2,1
1487643140,3,3
1487643614,1,1
1487644099,1,1
1487648657,0,1
1487649135,1,0
1487653454,0,1
1487653934,1,0
1487658022,0,1
1487658497,3,1
1487660898,2,0
1487668576,0,2
1487669053,1,2
1487678662,1,0
1487686335,2,0
1487691615,1,1
1487696655,0,1
1487703374,1,2
1487712740,0,1
1487714655,0,1
1487715136,1,0
1487715613,1,0
1487725455,0,3
1487725942,5,3
1487726414,2,1
1487726896,1,0
1487727373,1,1
1487727864,0,4
1487728334,2,2
1487729055,2,5
1487729535,6,5
1487730014,1,2
1487730975,0,1
1487731455,0,1
1487731937,1,2
1487732442,2,0
1487736255,0,2
1487736737,2,0
1487740333,0,1
1487740815,1,0
1487746333,0,1
1487747306,1,0
1487750179,1,1
1487761456,3,3
1487772254,1,1
1487775135,2,0
1487784498,1,2
1487784973,2,0
1487794334,0,1
1487794823,1,0
1487802014,0,2
1487802495,2,0
1487810178,0,2
1487810654,2,0
1487812100,1,0
1487812573,6,3
1487813055,3,4
1487813537,3,7
1487814016,4,4
1487814497,4,4
1487814983,1,5
1487815453,2,2
1487815936,5,7
1487816414,1,1
1487817374,0,1
1487821696,0,3
1487822177,3,0
1487822658,0,2
1487823134,2,1
1487824573,2,0
1487826740,1,0
1487827214,0,2
1487827698,2,0
1487831775,2,4
1487832253,0,1
1487841137,1,0
1487841644,1,4
1487842103,2,0
1487844499,1,1
1487854333,0,1
1487861534,2,0
1487862254,0,2
1487863229,2,0
1487874743,1,0
1487898047,0,1
1487898499,1,4
1487898973,2,4
1487899457,2,1
1487899934,0,2
