DateTime,Entries,UniqueIPs
1488475922,4041,4052
1488476522,4035,4046
1488477122,4070,4081
1488477722,4080,4091
1488478322,4033,4043
1488478922,4050,4060
1488480122,3958,3968
1488480722,3963,3973
1488481322,3941,3952
1488481921,3945,3956
1488482522,3948,3959
1488483121,3991,4002
1488483721,3978,3989
1488484322,3991,4002
1488484922,3983,3994
1488486121,3989,4000
1488486721,3992,4003
1488487322,3975,3986
1488488522,3955,3966
1488489122,3951,3962
1488489722,3957,3968
1488490922,3922,3933
1488491521,3925,3936
1488492121,3941,3952
1488492722,3886,3897
1488493322,3884,3895
1488494521,3846,3857
1488495121,3858,3869
1488495722,3851,3862
1488496922,3845,3856
1488498121,3836,3847
1488498721,3851,3862
1488499321,3820,3831
1488500522,3731,3742
1488501122,3735,3746
1488501721,3741,3752
1488502322,3746,3757
1488502921,3716,3727
1488503523,3714,3725
1488504122,3713,3724
1488505322,3716,3727
1488505922,3731,3742
1488506521,3723,3734
1488507122,3731,3742
1488507722,3674,3685
1488508322,3667,3678
1488508921,3673,3684
1488510121,3653,3664
1488510721,3656,3667
1488511323,3583,3593
1488511922,3593,3603
1488512522,3595,3605
1488513121,3590,3600
1488514321,3585,3595
1488514921,3601,3611
1488516122,3564,3574
1488516722,3565,3575
1488517322,3576,3586
1488517922,3578,3588
1488518522,3583,3593
1488519122,3558,3568
1488519723,3551,3561
1488520322,3557,3567
1488520922,3558,3568
1488521522,3568,3578
1488522121,3550,3559
1488523322,3551,3560
1488523922,3537,3546
1488524521,3535,3544
1488525122,3536,3545
1488525722,3540,3549
1488526321,3541,3550
1488526922,3557,3566
1488528122,3525,3534
1488528721,3522,3531
1488529322,3520,3529
1488529922,3524,3533
1488530522,3534,3543
1488531122,3529,3538
1488531722,3538,3547
1488532321,3542,3551
1488532921,3544,3553
1488533522,3537,3546
1488534121,3522,3531
1488535321,3446,3455
1488535922,3453,3462
1488536522,3455,3464
1488537121,3463,3472
1488538322,3452,3461
1488538922,3454,3463
1488539522,3459,3468
1488540122,3467,3476
1488540722,3469,3478
1488541321,3447,3456
1488542522,3417,3426
1488543122,3425,3434
1488543723,3441,3450
1488544321,3445,3454
1488544922,3446,3455
1488545522,3468,3480
1488546122,3474,3486
1488546722,3488,3500
1488547322,3490,3502
1488547921,3472,3484
1488548522,3466,3478
1488549122,3479,3491
1488549721,3480,3492
1488550922,3453,3465
1488551522,3459,3471
1488552121,3448,3460
1488553323,3445,3457
1488553922,3436,3448
1488554522,3444,3456
1488555722,3446,3459
1488556321,3443,3456
1488556921,3379,3392
1488557522,3375,3388
1488558121,3344,3357
1488558721,3348,3361
1488559322,3356,3369
1488559921,3360,3373
1488560522,3364,3377
1488561122,3359,3372
1488561721,3323,3336
1488562921,3323,3336
1488563522,3295,3308
1488564121,3295,3308
1488564722,3299,3313
1488565321,3276,3290
1488565922,3284,3298
1488566522,3274,3288
1488567721,3237,3251
1488568321,3246,3260
1488568922,3253,3267
1488569522,3260,3274
1488570122,3235,3249
1488571322,3244,3259
1488571922,3190,3205
1488572521,3197,3212
1488573122,3210,3225
1488573721,3179,3194
1488574322,3202,3217
1488574922,3193,3208
1488576122,3189,3204
1488576722,3195,3211
1488577321,3208,3224
1488578522,3169,3185
1488579122,3171,3187
1488579723,3140,3157
1488580321,3141,3158
1488580924,3150,3167
1488581522,3119,3136
1488582122,3126,3143
1488582721,3143,3160
1488583921,3136,3153
1488584522,3137,3154
1488585121,3130,3147
1488585721,3135,3152
1488586321,3139,3156
1488586936,3156,3173
1488587521,3156,3173
1488588123,3140,3157
1488588721,3139,3156
1488589322,3143,3160
1488589922,3099,3116
1488590522,3103,3120
1488591121,3107,3124
1488591722,3052,3069
1488592321,3046,3063
1488592923,3043,3060
1488593522,3011,3028
1488594121,3014,3031
1488594722,3005,3022
1488595322,3005,3022
1488595922,3010,3027
1488596522,3014,3031
1488597121,3009,3026
1488597722,3007,3024
1488598922,2985,3002
1488599526,2977,2994
1488600122,2976,2993
1488600722,2978,2995
1488601321,2979,2996
1488601922,2980,2997
1488602521,2979,2996
1488603122,2977,2994
1488603722,2931,2948
1488604321,2932,2949
1488604922,2932,2949
1488605522,2948,2965
1488606121,2944,2961
1488606721,2945,2962
1488607322,2936,2953
1488607921,2932,2949
1488608522,2936,2953
1488609722,2930,2947
1488610322,2931,2948
1488610922,2935,2952
1488611522,2934,2951
1488612122,2937,2954
1488613321,2930,2947
1488614521,2937,2954
1488615721,2916,2933
1488616321,2914,2931
1488616922,2919,2936
1488617521,2908,2925
1488618122,2913,2930
1488618722,2911,2928
1488619921,2910,2927
1488620522,2906,2923
1488621723,2913,2930
1488622922,2863,2880
1488623522,2868,2885
1488624122,2871,2888
1488624721,2866,2883
1488625321,2867,2884
1488625923,2867,2884
1488626521,2865,2882
1488627121,2866,2883
1488627722,2862,2879
1488628323,2865,2882
1488628922,2861,2878
1488630122,2854,2871
1488630721,2859,2876
1488631322,2868,2885
1488632521,2865,2882
1488633122,2831,2848
1488633721,2834,2851
1488634922,2839,2856
1488635521,2857,2874
1488636121,2819,2836
1488636721,2824,2841
1488637922,2810,2826
1488638522,2789,2805
1488639121,2795,2811
1488639722,2794,2810
1488640322,2800,2816
1488640921,2800,2816
1488641522,2802,2818
1488642123,2803,2820
1488643322,2799,2816
1488643922,2777,2793
1488644522,2785,2803
1488645122,2781,2799
1488645722,2783,2801
1488646922,2761,2779
1488648121,2733,2751
1488649321,2726,2745
1488649922,2736,2755
1488650521,2678,2697
1488651122,2681,2700
1488651721,2685,2704
1488652322,2688,2707
1488652921,2701,2720
1488653522,2703,2722
1488654122,2704,2723
1488655321,2658,2677
1488655922,2683,2702
1488656522,2683,2702
1488657721,2673,2692
1488658924,2679,2698
1488659521,2680,2698
1488660121,2668,2686
1488660722,2685,2703
1488661321,2668,2687
1488661921,2670,2689
1488662522,2680,2699
1488663121,2676,2694
1488663721,2666,2684
1488664322,2681,2699
1488664922,2690,2708
1488665522,2661,2679
1488666122,2668,2686
1488666721,2653,2671
1488667322,2655,2673
1488667921,2655,2673
1488668522,2655,2673
1488669722,2596,2614
1488670322,2599,2617
1488670921,2599,2617
1488671521,2602,2620
1488672123,2590,2608
1488673322,2581,2599
1488674522,2576,2594
1488675122,2587,2605
1488675723,2585,2603
1488676921,2595,2613
1488678122,2562,2580
1488678722,2556,2574
1488679322,2557,2574
1488680522,2539,2556
1488681122,2540,2557
1488681722,2541,2558
1488682922,2497,2512
1488684122,2450,2465
1488684722,2458,2473
1488685322,2467,2482
1488686521,2443,2459
1488687122,2450,2466
1488687722,2440,2456
1488688922,2432,2451
1488689522,2449,2469
1488690122,2414,2434
1488690722,2415,2435
1488691322,2370,2390
1488691921,2370,2391
1488692522,2356,2377
1488693122,2309,2330
1488693721,2310,2331
1488694922,2291,2312
1488695521,2297,2318
1488696121,2284,2303
1488696721,2283,2302
1488697322,2268,2287
1488697922,2275,2294
1488698522,2279,2298
1488699122,2282,2301
1488699721,2287,2306
1488700321,2279,2298
1488700923,2279,2298
1488702122,2244,2263
1488702722,2250,2269
1488703322,2239,2258
1488703921,2243,2262
1488704521,2242,2261
1488705722,2219,2238
1488706322,2225,2244
1488706922,2235,2254
1488708122,2232,2250
1488709322,2237,2255
1488710522,2227,2244
1488711122,2229,2246
1488711722,2238,2255
1488712321,2239,2256
1488712921,2236,2253
1488713522,2230,2247
1488714122,2244,2261
1488715322,2241,2258
1488716525,2252,2269
1488717122,2263,2280
1488717721,2254,2271
1488718321,2257,2274
1488718922,2265,2282
1488719522,2277,2295
1488720122,2269,2287
1488720722,2281,2299
1488721321,2286,2304
1488722521,2250,2268
1488723722,2240,2258
1488724322,2254,2272
1488724921,2260,2278
1488725521,2224,2242
1488726122,2227,2245
1488726722,2231,2249
1488727322,2237,2256
1488727921,2238,2257
1488728522,2239,2258
1488729122,2217,2236
1488729722,2222,2241
1488730922,2212,2231
1488732121,2219,2238
1488732722,2222,2241
1488733321,2227,2246
1488734521,2235,2254
1488735122,2272,2291
1488735722,2279,2298
1488736321,2285,2304
1488736922,2263,2282
1488737533,2270,2289
1488738122,2278,2297
1488738722,2269,2288
1488739321,2296,2315
1488739922,2277,2296
1488740522,2276,2295
1488741122,2283,2303
1488741722,2288,2308
1488742922,2268,2288
1488743521,2278,2298
1488744122,2247,2267
1488744722,2266,2286
1488745321,2260,2280
1488745921,2265,2285
1488746522,2277,2297
1488747721,2249,2269
1488748322,2247,2267
1488749522,2244,2264
1488750122,2261,2281
1488750722,2268,2288
1488751322,2281,2301
1488752522,2277,2297
1488753122,2279,2299
1488753721,2250,2270
1488754322,2260,2280
1488754921,2263,2285
1488755521,2265,2287
1488756122,2263,2285
1488757322,2218,2240
1488757922,2221,2243
1488758522,2226,2248
1488759123,2207,2229
1488759722,2210,2232
1488760922,2191,2213
1488761523,2181,2203
1488762122,2171,2193
1488762721,2181,2203
1488763321,2188,2210
1488763921,2180,2202
1488764522,2186,2209
1488765121,2192,2215
