DateTime,AddedIPs,RemovedIPs
1488597722,80,80
1488598922,80,80
1488599526,80,80
1488600122,80,80
1488600722,80,80
1488601321,80,80
1488601922,75,75
1488602521,78,78
1488603122,79,79
1488603722,80,80
1488604321,80,80
1488604922,79,79
1488605522,79,79
1488606121,80,80
1488606721,80,80
1488607322,79,79
1488607921,77,77
1488608522,80,80
1488609722,80,80
1488610322,80,80
1488610922,75,75
1488611522,80,80
1488612122,78,78
1488613321,73,73
1488613923,76,76
1488614521,73,73
1488615121,80,80
1488615721,80,80
1488616321,78,78
1488616922,80,80
1488617521,79,79
1488618122,79,79
1488618722,74,74
1488619322,80,80
1488619921,80,80
1488620522,80,80
1488621723,80,80
1488622922,77,77
1488623522,79,79
1488624122,75,75
1488624721,79,79
1488625321,78,78
1488625923,80,80
1488626521,80,80
1488627121,80,80
1488627722,80,80
1488628323,78,78
1488628922,78,78
1488630122,79,79
1488630721,80,80
1488631322,80,80
1488632521,76,76
1488633122,78,78
1488633721,80,80
1488634922,80,80
1488635521,77,77
1488636121,77,77
1488636721,77,77
1488637321,80,80
1488637922,80,80
1488638522,80,80
1488639121,80,80
1488639722,75,75
1488640322,80,80
1488640921,80,80
1488641522,78,78
1488642123,80,80
1488643322,80,80
1488643922,80,80
1488644522,80,80
1488645122,80,80
1488645722,80,80
1488646322,45,45
1488646922,80,80
1488648121,80,80
1488649321,76,76
1488649922,77,77
1488650521,76,76
1488651122,80,80
1488651721,80,80
1488652322,80,80
1488652921,80,80
1488653522,80,80
1488654122,79,79
1488655321,77,77
1488655922,78,78
1488656522,80,80
1488657721,80,80
1488658924,80,80
1488659521,80,80
1488660121,80,80
1488660722,77,77
1488661321,77,77
1488661921,79,79
1488662522,77,77
1488663121,78,78
1488663721,80,80
1488664322,80,80
1488664922,75,75
1488665522,80,80
1488666122,62,62
1488666721,80,80
1488667322,80,80
1488667921,72,72
1488668522,80,80
1488669722,77,77
1488670322,80,80
1488670921,80,80
1488671521,80,80
1488672123,78,78
1488672721,80,80
1488673322,80,80
1488674522,80,80
1488675122,77,77
1488675723,79,79
1488676921,80,80
1488678122,77,77
1488678722,80,80
1488679322,80,80
1488680522,80,80
1488681122,80,80
1488681722,80,80
1488682922,72,72
1488684122,72,72
1488684722,78,78
1488685322,76,76
1488686521,73,73
1488687122,80,80
1488687722,80,80
1488688922,79,79
1488689522,80,80
1488690122,80,80
1488690722,80,80
1488691322,73,73
1488691921,68,68
1488692522,74,74
1488693122,80,80
1488693721,77,77
1488694922,52,52
1488695521,80,80
1488696121,56,56
1488696721,80,80
1488697322,80,80
1488697922,80,80
1488698522,74,74
1488699122,73,73
1488699721,40,40
1488700321,77,77
1488700923,77,77
1488702122,80,80
1488702722,80,80
1488703322,80,80
1488703921,78,78
1488704521,77,77
1488705722,80,80
1488706322,80,80
1488706922,77,77
1488708122,79,79
1488709322,79,79
1488710522,75,75
1488711122,78,78
1488711722,80,80
1488712321,80,80
1488712921,80,80
1488713522,79,79
1488714122,80,80
1488715322,79,79
1488716525,72,72
1488717122,68,68
1488717721,76,76
1488718321,72,72
1488718922,74,74
1488719522,79,79
1488720122,77,77
1488720722,80,80
1488721321,79,79
1488722521,76,76
1488723722,28,28
1488724322,80,80
1488724921,76,76
1488725521,13,13
1488726122,75,75
1488726722,72,72
1488727322,71,71
1488727921,80,80
1488728522,80,80
1488729122,80,80
1488729722,78,78
1488730322,80,80
1488730922,79,79
1488732121,74,74
1488732722,80,80
1488733321,80,80
1488734521,80,80
1488735122,80,80
1488735722,77,77
1488736321,80,80
1488736922,80,80
1488737533,78,78
1488738122,45,45
1488738722,79,79
1488739321,69,69
1488739922,80,80
1488740522,80,80
1488741122,56,56
1488741722,79,79
1488742922,70,70
1488743521,79,79
1488744122,80,80
1488744722,80,80
1488745321,80,80
1488745921,66,66
1488746522,69,69
1488747721,80,80
1488748322,80,80
1488748922,23,23
1488749522,78,78
1488750122,80,80
1488750722,80,80
1488751322,80,80
1488752522,76,76
1488753122,80,80
1488753721,76,76
1488754322,80,80
1488754921,72,72
1488755521,80,80
1488756122,77,77
1488756722,33,33
1488757322,68,68
1488757922,78,78
1488758522,80,80
1488759123,72,72
1488759722,78,78
1488760922,76,76
1488761523,78,78
1488762122,75,75
1488762721,80,80
1488763321,80,80
1488763921,80,80
1488764522,80,80
1488765121,80,80
1488765722,76,76
1488766322,75,75
1488766921,80,80
1488768121,79,79
1488768722,80,80
1488769321,80,80
1488769922,74,74
1488770522,80,80
1488771121,77,77
1488771722,80,80
1488772322,72,72
1488772922,79,79
1488774122,74,74
1488774721,80,80
1488775322,80,80
1488775921,80,80
1488776522,80,80
1488777122,18,18
1488777721,80,80
1488778322,78,78
1488778923,71,71
1488780121,70,70
1488781322,69,69
1488782522,72,72
1488783122,79,79
1488783722,74,74
1488784322,78,78
1488784922,69,69
1488785522,58,58
1488786121,80,80
1488786722,76,76
1488787322,80,80
1488787922,76,76
1488788521,77,77
1488789122,75,75
1488789722,68,68
1488790321,80,80
1488790922,78,78
1488791522,79,79
1488792123,71,71
1488792721,78,78
1488793322,78,78
1488793921,80,80
1488794521,80,80
1488795722,71,71
1488796321,76,76
1488796923,80,80
1488797522,80,80
1488798121,80,80
1488798722,80,80
1488799322,80,80
1488799922,80,80
1488800521,80,80
1488801122,53,53
1488801721,80,80
1488802922,80,80
1488804121,80,80
1488804722,80,80
1488805322,80,80
1488806521,80,80
1488807122,80,80
1488807726,73,73
1488808927,75,75
1488810121,78,78
1488810722,74,74
1488811321,76,76
1488812522,76,76
1488813122,78,78
1488813721,77,77
1488814321,80,80
1488814922,74,74
1488815521,80,80
1488816122,78,78
1488817322,80,80
1488817921,68,68
1488818522,73,73
1488819121,80,80
1488819722,80,80
1488820322,75,75
1488820921,80,80
1488822122,70,70
1488822722,78,78
1488823321,80,80
1488823922,77,77
1488824523,75,75
1488825122,75,75
1488825723,76,76
1488826321,79,79
1488826922,80,80
1488828122,80,80
1488828722,80,80
1488829321,80,80
1488830522,78,78
1488831122,80,80
1488831722,80,80
1488832321,80,80
1488832921,77,77
1488833522,80,80
1488834122,79,79
1488835321,78,78
1488835922,78,78
1488836523,80,80
1488837121,74,74
1488837722,80,80
1488838322,80,80
1488838922,80,80
1488840122,80,80
1488840721,80,80
1488841322,70,70
1488842521,80,80
1488843121,59,59
1488843722,79,79
1488844321,80,80
1488844922,76,76
1488846146,80,80
1488846724,80,80
1488847321,80,80
1488848521,80,80
1488849722,76,76
1488850322,76,76
1488850921,78,78
1488851522,80,80
1488852122,76,76
1488852721,48,48
1488853322,80,80
1488853922,78,78
1488854523,77,77
1488855122,76,76
1488855722,77,77
1488856322,79,79
1488856921,77,77
1488857522,77,77
1488858122,73,73
1488858723,80,80
1488859323,80,80
1488859922,80,80
1488860523,80,80
1488861121,80,80
1488861722,75,75
1488862921,80,80
1488863522,72,72
1488864121,67,67
1488864722,80,80
1488865321,77,77
1488865921,76,76
1488866523,74,74
1488867122,77,77
1488867722,79,79
1488868321,69,69
1488868922,77,77
1488869521,25,25
1488870122,80,80
1488871321,80,80
1488871921,79,79
1488872522,80,80
1488873121,78,78
1488873722,72,72
1488874322,80,80
1488874922,77,77
1488875526,67,67
1488876122,80,80
1488876721,80,80
1488877321,80,80
1488877922,74,74
1488878521,78,78
1488879121,78,78
1488879721,78,78
1488880322,80,80
1488880921,80,80
1488881521,80,80
1488882121,76,76
1488882722,74,74
1488883321,80,80
1488883922,80,80
1488884522,75,75
1488885122,75,75
1488886322,79,79
1488886921,77,77
1488887523,78,78
1488888121,74,74
1488888722,46,46
1488889322,79,79
1488889922,77,77
1488890521,80,80
1488891722,80,80
1488892321,73,73
1488892922,75,75
1488893521,80,80
1488894122,31,31
1488894721,50,50
1488895321,78,78
1488896522,77,77
1488897121,74,74
1488897722,80,80
1488898322,80,80
1488898921,74,74
1488899522,79,79
1488900121,79,79
1488900721,80,80
1488901322,78,78
1488901923,80,80
1488902522,80,80
1488903722,77,77
1488904921,77,77
1488905522,77,77
1488906121,79,79
1488906722,77,77
1488907322,78,78
1488907922,78,78
1488908522,76,76
1488909123,72,72
1488909722,68,68
1488910922,78,78
1488911522,72,72
1488912121,76,76
1488913322,77,77
1488913922,80,80
1488914522,80,80
1488915122,75,75
1488915730,80,80
1488916321,80,80
1488916921,76,76
1488917522,79,79
1488918122,79,79
1488918722,69,69
1488919322,80,80
1488920522,80,80
1488921121,68,68
1488921723,69,69
1488922322,80,80
1488922921,79,79
1488923522,78,78
1488924122,78,78
1488924722,37,37
1488925322,76,76
1488925922,79,79
1488926522,17,17
1488927122,74,74
1488927721,66,66
1488928322,57,57
1488928922,80,80
1488929522,80,80
1488930121,78,78
1488930721,76,76
1488931322,78,78
1488931922,80,80
1488932522,77,77
1488933122,80,80
1488933721,80,80
1488934321,76,76
1488934921,80,80
1488935522,77,77
1488936122,80,80
1488936722,31,31
1488937321,80,80
1488937921,77,77
1488938523,79,79
1488939722,80,80
1488940322,78,78
