DateTime,AddedIPs,RemovedIPs
1488507122,47,47
1488507722,23,23
1488508322,40,40
1488508921,46,46
1488509521,24,24
1488510121,68,68
1488510721,51,51
1488511322,45,45
1488512522,49,49
1488513121,43,43
1488513722,35,35
1488514321,37,37
1488514921,31,31
1488515522,31,31
1488516122,40,40
1488516722,36,36
1488517322,35,35
1488517921,50,50
1488518522,57,57
1488519122,30,30
1488519722,41,41
1488520322,18,18
1488520922,35,35
1488522121,42,42
1488523322,32,32
1488524521,30,30
1488525121,7,7
1488525721,6,6
1488526321,6,6
1488526922,21,21
1488528122,18,18
1488528721,12,12
1488529322,13,13
1488530522,47,47
1488531122,17,17
1488531721,11,11
1488532321,13,13
1488532921,30,30
1488534121,40,40
1488534722,11,11
1488535321,11,11
1488536522,43,43
1488537121,11,11
1488537722,12,12
1488538322,18,18
1488538921,10,10
1488539522,13,13
1488540122,14,14
1488540722,9,9
1488541321,4,4
1488542522,21,21
1488543122,14,14
1488543723,8,8
1488544321,7,7
1488544922,10,10
1488545522,21,21
1488546122,7,7
1488546722,8,8
1488547322,3,3
1488547921,18,18
1488548522,12,12
1488549721,15,15
1488550922,17,17
1488551522,5,5
1488552121,13,13
1488552721,6,6
1488553323,26,26
1488554522,14,14
1488555722,25,25
1488556321,2,2
1488556921,5,5
1488557522,4,4
1488558121,5,5
1488559322,18,18
1488559921,4,4
1488560522,9,9
1488561721,16,16
1488562921,12,12
1488563522,12,12
1488564121,17,17
1488565321,6,6
1488565922,4,4
1488566521,21,21
1488567721,9,9
1488568321,22,22
1488568922,6,6
1488569522,3,3
1488570122,1,1
1488571322,21,21
1488572521,19,19
1488573122,3,3
1488573721,2,2
1488574322,11,11
1488574922,14,14
1488576122,21,21
1488577321,15,15
1488577921,3,3
1488578522,12,12
1488579722,11,11
1488580321,3,3
1488580923,7,7
1488581521,22,22
1488582121,4,4
1488582721,7,7
1488583921,21,21
1488584522,10,10
1488585121,17,17
1488585721,4,4
1488586321,17,17
1488586935,11,11
1488587521,6,6
1488588123,10,10
1488588721,11,11
1488589322,8,8
1488589922,37,37
1488590522,29,29
1488591722,28,28
1488592321,13,13
1488592922,18,18
1488594121,28,28
1488594722,34,34
1488595322,32,32
1488595922,12,12
1488596522,6,6
1488597121,8,8
1488597722,30,30
1488598922,39,39
1488600122,35,35
1488600722,18,18
1488601321,12,12
1488601922,16,16
1488602521,12,12
1488603122,2,2
1488603722,11,11
1488604922,17,17
1488606121,23,23
1488607322,9,9
1488607921,5,5
1488608522,13,13
1488609121,13,13
1488609722,4,4
1488610322,27,27
1488610922,15,15
1488611522,16,16
1488612122,9,9
1488613321,10,10
1488614521,31,31
1488615121,16,16
1488615721,10,10
1488616321,7,7
1488616922,4,4
1488617521,12,12
1488618122,8,8
1488618721,8,8
1488619322,8,8
1488619921,5,5
1488620522,9,9
1488621122,17,17
1488621722,18,18
1488622322,9,9
1488622922,10,10
1488623522,16,16
1488624122,15,15
1488625321,26,26
1488626521,26,26
1488627121,12,12
1488627722,9,9
1488628323,7,7
1488628922,15,15
1488630122,62,62
1488630721,39,39
1488631322,25,25
1488631922,34,34
1488632521,12,12
1488633122,31,31
1488633721,15,15
1488634922,36,36
1488635521,18,18
1488636121,13,13
1488636721,14,14
1488637321,7,7
1488637922,10,10
1488638522,12,12
1488639121,11,11
1488639721,10,10
1488640921,29,29
1488641522,5,5
1488642123,13,13
1488643322,21,21
1488644522,20,20
1488645722,13,13
1488646921,45,45
1488647522,15,15
1488648121,5,5
1488648722,20,20
1488649321,18,18
1488649922,14,14
1488650521,2,2
1488651721,24,24
1488652921,26,26
1488653522,8,8
1488654122,1,1
1488655321,17,17
1488655922,6,6
1488656522,9,9
1488657122,13,13
1488657721,8,8
1488658322,9,9
1488658924,12,12
1488659521,10,10
1488660121,3,3
1488660722,6,6
1488661321,3,3
1488661921,13,13
1488662522,20,20
1488663121,16,16
1488663721,27,27
1488664922,31,31
1488665522,19,19
1488666122,4,4
1488666721,9,9
1488667322,10,10
1488667921,6,6
1488668522,12,12
1488669722,20,20
1488670322,10,10
1488670921,6,6
1488671521,11,11
1488672122,16,16
1488673322,10,10
1488673922,23,23
1488674522,15,15
1488675122,5,5
1488675723,15,15
1488676322,3,3
1488676921,4,4
1488678122,37,37
1488678722,28,28
1488679322,19,19
1488680522,29,29
1488681722,26,26
1488682922,38,38
1488684122,38,38
1488684722,17,17
1488685321,15,15
1488686521,24,24
1488687722,22,22
1488688922,10,10
1488689522,9,9
1488690122,14,14
1488691322,30,30
1488691921,23,23
1488692522,10,10
1488693721,9,9
1488694322,15,15
1488694922,29,29
1488695521,14,14
1488696121,19,19
1488696721,20,20
1488697322,29,29
1488697921,27,27
1488698522,30,30
1488699122,20,20
1488699721,28,28
1488700922,45,45
1488701522,40,40
1488702122,32,32
1488702722,26,26
1488703322,21,21
1488703921,26,26
1488704521,34,34
1488705123,36,36
1488705722,23,23
1488706321,19,19
1488706922,25,25
1488708122,19,19
1488708722,15,15
1488709322,25,25
1488709922,27,27
1488710522,12,12
1488711122,21,21
1488711722,32,32
1488712321,11,11
1488712921,23,23
1488713522,14,14
1488714122,11,11
1488715322,27,27
1488715922,14,14
1488716524,6,6
1488717721,11,11
1488718321,17,17
1488718922,15,15
1488719522,14,14
1488720122,6,6
1488720722,11,11
1488721321,7,7
1488721921,34,34
1488722521,35,35
1488723722,28,28
1488724322,9,9
1488724921,7,7
1488725521,15,15
1488726122,4,4
1488727322,26,26
1488727921,3,3
1488728522,6,6
1488729722,21,21
1488730922,7,7
1488731522,5,5
1488732121,6,6
1488733321,23,23
1488734521,2,2
1488735122,13,13
1488735722,8,8
1488736321,7,7
1488736922,10,10
1488737533,10,10
1488738121,5,5
1488738722,15,15
1488739321,7,7
1488739922,8,8
1488740522,31,31
1488741122,15,15
1488741722,8,8
1488742321,12,12
1488742922,4,4
1488743521,18,18
1488744122,15,15
1488745321,24,24
1488746522,28,28
1488747721,26,26
1488748322,4,4
1488748921,7,7
1488749522,11,11
1488750122,19,19
1488750722,9,9
1488751321,10,10
1488751922,17,17
1488752522,8,8
1488753721,13,13
1488754322,3,3
1488754921,8,8
1488755521,13,13
1488756122,8,8
1488756722,6,6
1488757322,8,8
1488758522,19,19
1488759122,10,10
1488759722,11,11
1488760922,41,41
1488761522,17,17
1488762122,14,14
1488762721,12,12
1488763321,17,17
1488763921,18,18
1488764522,24,24
1488765121,14,14
1488765722,25,25
1488766921,45,45
1488768121,26,26
1488768722,11,11
1488769321,30,30
1488769922,30,30
