DateTime,Entries,UniqueIPs
1487040310,4164,4164
1487043910,4237,4237
1487047510,4359,4359
1487051111,4486,4486
1487054711,4616,4616
1487058310,4804,4804
1487061911,4962,4962
1487065510,5072,5072
1487069110,5230,5230
1487072710,5379,5379
1487076311,5492,5492
1487079910,5616,5616
1487083510,5769,5769
1487087111,5886,5886
1487090710,6023,6023
1487094311,6130,6130
1487097910,6226,6226
1487101510,6320,6320
1487105111,6400,6400
1487108711,6463,6463
1487112311,6550,6550
1487115911,6612,6612
1487119511,3817,3817
1487123111,3887,3887
1487126711,3981,3981
1487130311,4056,4056
1487133910,4149,4149
1487137511,4257,4257
1487141111,4435,4435
1487144711,4600,4600
1487148311,4722,4722
1487151911,4853,4853
1487155511,4981,4981
1487159110,5136,5136
1487162711,5255,5255
1487166311,5371,5371
1487169911,5496,5496
1487173510,5638,5638
1487177111,5753,5753
1487180711,5888,5888
1487184311,6033,6033
1487187911,6177,6177
1487191511,6321,6321
1487195111,6436,6436
1487198711,6538,6538
1487202311,6627,6627
1487205911,3959,3959
1487209511,4062,4062
1487213111,4147,4147
1487216711,4215,4215
1487220311,4314,4314
1487223911,4445,4445
1487227511,4571,4571
1487231111,4679,4679
1487234711,4835,4835
1487238311,4954,4954
1487241911,5094,5094
1487245511,5210,5210
1487248212,5287,5287
1487251811,5439,5439
1487255411,5577,5577
1487259012,5747,5747
1487262611,5846,5846
1487266211,6050,6050
1487269812,6243,6243
1487273411,6403,6403
1487277011,6497,6497
1487280611,6574,6574
1487284212,6658,6658
1487287811,6736,6736
1487291411,3996,3996
1487295011,4071,4071
1487298611,4170,4170
1487302211,4263,4263
1487305811,4349,4349
1487309411,4476,4476
1487313011,4611,4611
1487316612,4765,4765
1487320211,4877,4877
1487323811,5034,5034
1487327412,5231,5231
1487331011,5476,5476
1487334611,5602,5602
1487337311,5708,5708
1487340912,5845,5845
1487344512,5982,5982
1487348112,6118,6118
1487351711,6237,6237
1487355311,6325,6325
1487358911,6435,6435
1487362511,6527,6527
1487366111,6614,6614
1487369711,6704,6704
1487373311,6793,6793
1487376911,3999,3999
1487380512,4209,4209
1487384112,4325,4325
1487387712,4402,4402
1487391311,4479,4479
1487394911,4586,4586
1487398512,4708,4708
1487402112,4832,4832
1487405712,4930,4930
1487409312,5062,5062
1487412912,5206,5206
1487416512,5341,5341
1487420111,5477,5477
1487423712,5613,5613
1487427312,5822,5822
1487430912,5931,5931
1487434512,6030,6030
1487438112,6101,6101
1487440812,6162,6162
1487444412,6247,6247
1487448012,6345,6345
1487451612,6442,6442
1487455212,6535,6535
1487458812,6623,6623
1487461511,6716,6716
1487465112,3878,3878
1487468712,3955,3955
1487472312,4051,4051
1487475911,4146,4146
1487479511,4219,4219
1487483112,4317,4317
1487486712,4402,4402
1487490312,4511,4511
1487493912,4605,4605
1487497512,4716,4716
1487501112,4856,4856
1487504712,4964,4964
1487508312,5071,5071
1487511912,5159,5159
1487515512,5336,5336
1487519112,5525,5525
1487522712,5639,5639
1487526312,5707,5707
1487529912,5805,5805
1487533513,5877,5877
1487537113,6009,6009
1487540712,6122,6122
1487544312,6208,6208
1487547912,6296,6296
1487551512,3659,3659
1487555112,3787,3787
1487558712,3935,3935
1487562312,4046,4046
1487565912,4148,4148
1487569512,4269,4269
1487573113,4388,4388
1487576713,4516,4516
1487580313,4648,4648
1487583912,4800,4800
1487587513,4946,4946
1487591112,5092,5092
1487594712,5192,5192
1487598312,5323,5323
1487601912,5457,5457
1487607303,5662,5662
1487610903,5762,5762
1487614503,5883,5883
1487618102,6023,6023
1487621703,6127,6127
1487625302,6199,6199
1487628902,6299,6299
1487632503,6390,6390
1487636103,3958,3958
1487639703,4086,4086
1487643302,4183,4183
1487646903,4282,4282
1487650502,4366,4366
1487654103,4472,4472
