DateTime,Entries,UniqueIPs
1486402801,25425,25425
1486406401,25395,25395
1486410000,25363,25363
1486413601,25321,25321
1486417200,25273,25273
1486420800,25234,25234
1486424401,25198,25198
1486428000,25146,25146
1486431600,25112,25112
1486433400,25111,25111
1486435200,25064,25064
1486438800,25022,25022
1486442400,24985,24985
1486446000,24951,24951
1486449601,24910,24910
1486453201,24865,24865
1486456801,24828,24828
1486460400,24776,24776
1486464000,24742,24742
1486466400,24741,24741
1486467600,24702,24702
1486471800,24664,24664
1486474800,24622,24622
1486478400,24591,24591
1486482000,24567,24567
1486485601,24530,24530
1486487400,25622,25622
1486489200,25593,25593
1486493400,25381,25381
1486495201,25427,25427
1486496400,25428,25428
1486498200,24477,24477
1486503600,24601,24601
1486507201,24600,24600
1486510801,24680,24680
1486512600,24680,24680
1486518000,24681,24681
1486521600,24679,24679
1486525200,24672,24672
1486532401,24675,24675
1486539600,24668,24668
1486546800,24675,24675
1486550401,24679,24679
1486554000,24679,24679
1486561201,24675,24675
1486569000,24674,24674
1486572000,23835,23835
1486575600,23832,23832
1486581000,24801,24801
1486582800,24802,24802
1486586400,24803,24803
1486590000,24799,24799
1486591800,24798,24798
1486593600,25014,25014
1486597201,25009,25009
1486599601,25058,25058
1486604400,25067,25067
1486611600,25062,25062
1486618800,25057,25057
1486626001,25056,25056
1486633200,25054,25054
1486640400,25053,25053
1486647600,25053,25053
1486657200,25055,25055
1486658400,23827,23827
1486660201,23829,23829
1486662000,24688,24688
1486669200,24689,24689
1486676400,24686,24686
1486683600,24683,24683
1486690800,24687,24687
1486698000,24686,24686
1486705201,24684,24684
1486712400,24677,24677
1486719600,24675,24675
1486722000,24666,24666
1486726800,24667,24667
1486729200,24666,24666
1486730400,24668,24668
1486734001,24665,24665
1486741200,24666,24666
1486743000,24544,24544
1486744800,23548,23548
1486748400,23547,23547
1486752000,24127,24127
1486755601,24127,24127
1486762800,24127,24127
1486770000,24131,24131
1486777201,24131,24131
1486784401,24128,24128
1486788000,24129,24129
1486789800,24128,24128
1486791600,24123,24123
1486797001,24125,24125
1486798801,24120,24120
1486806000,24122,24122
1486813200,24121,24121
1486821000,24123,24123
1486825800,24124,24124
1486827601,24118,24118
1486829400,24119,24119
1486831200,23222,23222
1486834800,23226,23226
1486838401,23954,23954
1486842001,23960,23960
1486849201,23962,23962
1486856401,23959,23959
1486863600,23954,23954
1486867200,23955,23955
1486870800,23952,23952
1486878001,23947,23947
1486885201,23941,23941
1486888801,23940,23940
1486892401,23942,23942
1486899601,23945,23945
1486906801,23947,23947
1486910400,23948,23948
1486914000,23955,23955
1486918200,23132,23132
1486921200,23130,23130
1486923000,23129,23129
1486924800,23838,23838
1486928400,23839,23839
1486935601,23836,23836
1486942800,23834,23834
1486950000,23838,23838
1486957200,23839,23839
1486964400,23839,23839
1486968601,23838,23838
1486971600,23837,23837
1486978800,23835,23835
1486986001,23831,23831
1486993200,23829,23829
1487000400,23831,23831
1487004000,22578,22578
1487007600,22583,22583
1487011200,23306,23306
1487014800,23310,23310
1487022001,23308,23308
1487029200,23314,23314
1487036400,23317,23317
1487043600,23318,23318
