DateTime,Entries,UniqueIPs
1486933372,2461,2542
1486936971,2463,2544
1486940571,2463,2544
1486944171,2467,2548
1486947771,2469,2550
1486951372,2470,2551
1486954972,2466,2547
1486958632,2467,2548
1486962231,2467,2548
1486969372,2466,2548
1486972972,2467,2549
1486976571,2467,2549
1486980172,2466,2548
1486983772,2465,2547
1486990971,2463,2545
1486994571,2465,2547
1486998171,2466,2548
1487001772,2466,2548
1487005373,2470,2552
1487008972,2468,2550
1487012571,2470,2552
1487016171,2472,2554
1487019773,2474,2556
1487023433,2477,2559
1487026973,2478,2560
1487030573,2477,2559
1487034173,2480,2562
1487037772,2479,2561
1487041372,2480,2562
1487044973,2480,2562
1487048573,2480,2562
1487052173,2479,2561
1487055832,2478,2560
1487059432,2472,2554
1487066632,2469,2551
1487070172,2470,2552
1487073772,2472,2554
1487077373,2476,2558
1487084573,2476,2558
1487088173,2478,2560
1487091773,2475,2557
1487095396,2473,2555
1487102573,2470,2552
1487109840,2469,2551
1487113374,2471,2553
1487116974,2472,2554
1487120574,2472,2554
1487124174,2471,2553
1487127774,2471,2553
1487131373,2468,2550
1487134974,2470,2552
1487138574,2467,2549
1487142174,2465,2546
1487145773,2467,2548
1487149374,2466,2547
1487152973,2467,2548
1487156573,2467,2548
1487160234,2467,2548
1487163775,2468,2549
1487167375,2464,2545
1487170976,2463,2544
1487174576,2467,2548
1487178235,2465,2546
1487185376,2462,2543
1487188975,2463,2544
1487192575,2463,2544
1487196177,2463,2544
1487199775,2462,2543
1487203377,2465,2546
1487206976,2465,2546
1487210577,2466,2547
1487214235,2464,2545
1487217777,2465,2546
1487221376,2463,2543
1487224976,2464,2544
1487228576,2464,2544
1487232177,2466,2546
1487235777,2469,2549
1487239376,2467,2547
1487242976,2466,2546
1487246577,2466,2547
1487250178,2468,2549
1487253778,2468,2549
1487257377,2466,2547
1487260978,2471,2552
1487264578,2470,2551
1487265901,2471,2552
1487268180,2473,2554
1487271780,2470,2551
1487275380,2474,2555
1487278980,2475,2558
1487282580,2473,2556
1487286180,2474,2557
1487289780,2476,2559
1487293380,2475,2558
1487296980,2472,2555
1487300580,2473,2556
1487304180,2468,2551
1487307780,2471,2554
1487311380,2465,2551
1487314980,2466,2552
1487318580,2466,2552
1487322180,2469,2555
1487325780,2470,2556
1487329380,2471,2557
1487332981,2474,2560
1487336580,2473,2559
1487340180,2476,2562
1487343781,2479,2565
1487347381,2478,2564
1487354581,2477,2563
1487358181,2475,2561
1487365381,2471,2557
1487368981,2470,2556
1487372581,2472,2558
