DateTime,Entries,UniqueIPs
1486636353,328,328
1486640087,329,329
1486643802,322,322
1486647648,321,321
1486651474,322,322
1486655328,318,318
1486659150,318,318
1486663000,319,319
1486666911,319,319
1486670940,320,320
1486675018,321,321
1486678857,322,322
1486682556,322,322
1486686263,324,324
1486690095,326,326
1486693942,327,327
1486697791,328,328
1486701632,331,331
1486705474,330,330
1486709309,329,329
1486713168,329,329
1486717345,329,329
1486721091,329,329
1486724953,328,328
1486728769,326,326
1486732596,325,325
1486736464,325,325
1486740263,326,326
1486744117,328,328
1486747981,329,329
1486751806,328,328
1486755622,329,329
1486759469,329,329
1486763314,331,331
1486767158,330,330
1486771012,327,327
1486774950,328,328
1486778680,331,331
1486782528,331,331
1486786368,331,331
1486790201,330,330
1486794156,330,330
1486797902,330,330
1486801720,330,330
1486805573,329,329
1486809404,329,329
1486813223,329,329
1486817067,328,328
1486825019,326,326
1486828908,326,326
1486832680,328,328
1486836513,330,330
1486844214,331,331
1486848049,329,329
1486851874,327,327
1486855737,328,328
1486859571,328,328
1486863397,327,327
1486867237,326,326
1486871069,326,326
1486874918,326,326
1486878765,326,326
1486882594,324,324
1486886500,323,323
1486890538,322,322
1486898235,323,323
1486902073,334,334
1486905878,347,347
1486909727,344,344
1486921234,352,352
1486925082,357,357
1486928904,358,358
1486932775,359,359
1486940539,366,366
1486944554,369,369
1486948376,368,368
1486952488,365,365
1486956275,365,365
1486960126,363,363
1486963984,363,363
1486967808,365,365
1486971627,364,364
1486979320,359,359
1486983156,354,354
1486987018,351,351
1486990914,353,353
1486994939,353,353
1486998648,352,352
1487002620,351,351
1487006465,354,354
1487010296,347,347
1487014143,339,339
1487017977,340,340
1487021817,339,339
1487025653,365,365
1487029472,414,414
1487033319,451,451
1487037153,449,449
1487040985,449,449
1487044901,449,449
1487048663,447,447
1487052546,437,437
1487056225,431,431
1487060210,429,429
1487068000,425,425
1487071723,416,416
1487075567,407,407
1487079422,398,398
1487083229,393,393
1487087296,392,392
1487091164,385,385
1487095004,374,374
1487098925,361,361
1487114443,359,359
1487118530,367,367
1487122371,365,365
1487126215,365,365
1487130032,364,364
1487133874,361,361
1487137729,379,379
1487141572,375,375
1487153085,372,372
1487164591,384,384
1487168467,397,397
1487172319,393,393
1487183805,390,390
1487187686,388,388
1487191474,394,394
1487195324,395,395
1487199054,396,396
1487202747,393,393
1487206596,395,395
1487210513,396,396
1487214279,392,392
1487218107,390,390
1487221953,390,390
1487229883,384,384
