DateTime,Entries,UniqueIPs
1486836516,300,300
1486844217,290,290
1486848053,286,286
1486851876,258,258
1486855740,254,254
1486859574,253,253
1486863399,233,233
1486867239,234,234
1486871072,236,236
1486874921,235,235
1486878769,233,233
1486882597,210,210
1486886504,209,209
1486890541,172,172
1486894391,174,174
1486898238,181,181
1486902075,233,233
1486905881,268,268
1486909730,263,263
1486913727,266,266
1486921238,323,323
1486925084,333,333
1486928906,343,343
1486932778,349,349
1486940543,379,379
1486944557,390,390
1486948378,384,384
1486952490,376,376
1486956278,388,388
1486960129,436,436
1486963986,447,447
1486967811,450,450
1486971630,451,451
1486975487,451,451
1486979323,451,451
1486983159,449,449
1486987022,449,449
1486990920,451,451
1486994945,450,450
1486998652,451,451
1487002625,451,451
1487006471,447,447
1487010299,447,447
1487014146,444,444
1487017979,447,447
1487021820,450,450
1487025658,450,450
1487029476,451,451
1487033324,451,451
1487037156,451,451
1487040987,450,450
1487044905,451,451
1487048667,450,450
1487052549,445,445
1487056228,447,447
1487060213,446,446
1487064053,450,450
1487068003,451,451
1487071726,451,451
1487075571,449,449
1487079426,447,447
1487083231,437,437
1487087299,444,444
1487091168,444,444
1487095010,446,446
1487098929,441,441
1487102681,439,439
1487106522,434,434
1487110380,427,427
1487114446,417,417
1487118534,403,403
1487122374,405,405
1487126217,398,398
1487130035,382,382
1487133878,378,378
1487137733,355,355
1487141575,338,338
1487145420,337,337
1487153088,321,321
1487164595,298,298
1487168470,312,312
1487172321,302,302
1487176140,303,303
1487183808,308,308
1487187693,312,312
1487191477,308,308
1487195327,313,313
1487199057,320,320
1487202750,314,314
1487206599,329,329
1487210515,332,332
1487214284,335,335
1487218110,339,339
1487221956,340,340
1487229886,310,310
1487233701,322,322
1487237565,311,311
1487245228,303,303
1487249065,298,298
1487252907,300,300
1487256765,302,302
1487260625,308,308
1487264506,296,296
1487268673,319,319
1487272373,322,322
1487276213,316,316
1487280028,369,369
1487283861,397,397
1487287651,446,446
1487291318,449,449
1487295165,451,451
1487299004,450,450
1487302827,451,451
1487306667,451,451
1487310506,449,449
1487314362,446,446
1487318228,448,448
1487322298,451,451
1487326145,451,451
1487329967,451,451
1487333808,451,451
1487337665,451,451
1487341481,450,450
1487345339,426,426
1487349177,441,441
1487353144,450,450
1487356838,450,450
1487360691,447,447
1487364506,444,444
1487368373,448,448
1487372201,450,450
1487376294,450,450
1487380142,451,451
1487383957,451,451
1487387784,447,447
1487391647,449,449
1487395467,451,451
1487399322,449,449
1487403165,450,450
1487407005,451,451
1487410831,451,451
1487414670,451,451
1487418509,451,451
1487422369,427,427
1487426208,447,447
1487430290,423,423
1487434135,418,418
1487437967,415,415
1487441795,413,413
1487445644,421,421
1487449465,416,416
1487453325,412,412
