DateTime,AddedIPs,RemovedIPs
1486651498,2,5
1486655345,0,8
1486659171,1,1
1486663020,2,7
1486666930,0,1
1486670963,0,4
1486675039,3,2
1486678878,1,0
1486682576,2,2
1486693963,3,3
1486697810,3,1
1486701652,2,1
1486705499,0,1
1486709330,2,1
1486713191,2,2
1486717375,2,0
1486721114,1,0
1486724973,1,3
1486728792,3,0
1486732618,4,0
1486740288,4,18
1486744137,1,3
1486748006,2,3
1486751828,3,2
1486759489,4,2
1486763333,2,1
1486767179,1,3
1486771030,3,2
1486774980,7,4
1486782545,2,2
1486790221,4,0
1486794177,3,0
1486801738,2,1
1486805590,5,3
1486813244,1,8
1486817085,0,6
1486821199,1,2
1486825038,2,9
1486828926,5,2
1486832698,2,1
1486836533,2,1
1486844232,2,2
1486848067,3,2
1486851892,4,2
1486855758,11,4
1486859590,11,1
1486863414,1,1
1486871088,2,4
1486874936,1,0
1486878784,4,0
1486882612,4,3
1486886518,2,3
1486890557,1,16
1486894405,2,1
1486898256,1,3
1486902092,0,1
1486905896,2,1
1486909744,3,4
1486913741,2,0
1486921468,3,2
1486925308,4,0
1486929167,3,1
1486937080,3,1
1486945020,2,0
1486948855,1,0
1486952914,2,8
1486960594,2,2
1486964453,3,12
1486968285,2,0
1486972103,2,1
1486979787,1,3
1486983696,0,1
1486987576,1,2
1486991346,1,1
1486995438,0,4
1486999503,1,3
1487003315,2,1
1487007172,3,1
1487010992,1,0
1487014829,0,1
1487022504,2,0
1487026349,2,0
1487030197,2,0
1487034100,1,1
1487041742,2,3
1487045580,3,1
1487049663,4,2
1487053476,4,1
1487057317,1,2
1487061179,6,6
1487065012,1,1
1487068849,3,12
1487073004,1,3
1487076770,3,8
1487080594,1,1
1487084514,6,5
1487088542,1,0
1487096187,3,0
1487100043,3,2
1487107599,1,0
1487115147,4,0
1487119020,1,0
1487122864,1,0
1487126678,1,0
1487134385,2,0
1487138208,5,4
1487142145,2,0
1487146141,1,0
1487154053,1,4
1487157873,3,0
1487161734,1,0
1487165565,3,0
1487169404,1,1
1487173238,2,1
1487184762,4,3
1487188603,9,11
1487192509,2,10
1487196298,2,2
1487203972,4,11
1487207789,2,0
1487211655,0,3
1487215468,2,0
1487226998,5,5
1487230880,4,1
1487238512,2,2
1487246212,3,3
1487253890,2,2
1487257746,1,0
1487261575,1,0
1487265422,4,2
1487269491,1,2
1487273325,3,10
1487277163,2,2
1487280994,6,3
1487284850,1,0
1487288671,2,0
1487292514,1,0
1487296350,3,0
1487300206,2,2
1487304107,1,0
1487307878,3,1
1487311719,0,1
1487315551,3,5
1487319396,3,1
