DateTime,Entries,UniqueIPs
1486651498,166,166
1486655345,158,158
1486659171,158,158
1486663020,153,153
1486666930,152,152
1486670963,148,148
1486675039,149,149
1486678878,150,150
1486682576,150,150
1486693963,150,150
1486697810,152,152
1486701652,153,153
1486705499,152,152
1486709330,153,153
1486713191,153,153
1486717375,155,155
1486721114,156,156
1486724973,154,154
1486728792,157,157
1486732618,161,161
1486740288,147,147
1486744137,145,145
1486748006,144,144
1486751828,145,145
1486759489,147,147
1486763333,148,148
1486767179,146,146
1486771030,147,147
1486774980,150,150
1486782545,150,150
1486790221,154,154
1486794177,157,157
1486801738,158,158
1486805590,160,160
1486813244,153,153
1486817085,147,147
1486821199,146,146
1486825038,139,139
1486828926,142,142
1486832698,143,143
1486836533,144,144
1486844232,144,144
1486848067,145,145
1486851892,147,147
1486855758,154,154
1486859590,164,164
1486863414,164,164
1486871088,162,162
1486874936,163,163
1486878784,167,167
1486882612,168,168
1486886518,167,167
1486890557,152,152
1486894405,153,153
1486898256,151,151
1486902092,150,150
1486905896,151,151
1486909744,150,150
1486913741,152,152
1486921468,153,153
1486925308,157,157
1486929167,159,159
1486937080,161,161
1486945020,163,163
1486948855,164,164
1486952914,158,158
1486960594,158,158
1486964453,149,149
1486968285,151,151
1486972103,152,152
1486979787,150,150
1486983696,149,149
1486987576,148,148
1486991346,148,148
1486995438,144,144
1486999503,142,142
1487003315,143,143
1487007172,145,145
1487010992,146,146
1487014829,145,145
1487022504,147,147
1487026349,149,149
1487030197,151,151
1487034100,151,151
1487041742,150,150
1487045580,152,152
1487049663,154,154
1487053476,157,157
1487057317,156,156
1487061179,156,156
1487065012,156,156
1487068849,147,147
1487073004,145,145
1487076770,140,140
1487080594,140,140
1487084514,141,141
1487088542,142,142
1487096187,145,145
1487100043,146,146
1487107599,147,147
1487115147,151,151
1487119020,152,152
1487122864,153,153
1487126678,154,154
1487134385,156,156
1487138208,157,157
1487142145,159,159
1487146141,160,160
1487154053,157,157
1487157873,160,160
1487161734,161,161
1487165565,164,164
1487169404,164,164
1487173238,165,165
1487184762,166,166
1487188603,164,164
1487192509,156,156
1487196298,156,156
1487203972,149,149
1487207789,151,151
1487211655,148,148
1487215468,150,150
1487226998,150,150
1487230880,153,153
1487238512,153,153
1487246212,153,153
1487253890,153,153
1487257746,154,154
1487261575,155,155
1487265422,157,157
1487269491,156,156
1487273325,149,149
1487277163,149,149
1487280994,152,152
1487284850,153,153
1487288671,155,155
1487292514,156,156
1487296350,159,159
1487300206,159,159
1487304107,160,160
1487307878,162,162
1487311719,161,161
1487315551,159,159
1487319396,161,161
1487330923,163,163
1487334770,165,165
1487338624,166,166
1487342458,169,169
1487346291,165,165
1487350131,163,163
1487353960,162,162
1487357797,164,164
1487361698,163,163
1487365476,163,163
1487373166,162,162
1487376995,163,163
1487380833,163,163
1487384665,162,162
1487388523,160,160
1487392360,159,159
1487396197,161,161
1487400021,158,158
1487407713,157,157
1487411567,157,157
1487415408,160,160
1487419330,161,161
1487423077,159,159
1487426939,160,160
1487430768,162,162
1487434603,164,164
1487438444,166,166
1487442258,169,169
1487446105,169,169
1487449959,168,168
1487453795,168,168
1487457652,167,167
1487461479,166,166
1487465314,162,162
1487469156,161,161
1487472995,160,160
1487476905,161,161
1487480674,164,164
1487484519,162,162
1487488350,164,164
1487492115,164,164
1487495816,164,164
1487503496,162,162
1487507361,162,162
1487511261,162,162
1487515018,168,168
1487518845,169,169
1487522677,171,171
1487530357,3,3
1487534198,6,6
1487538110,14,14
1487542146,21,21
1487545977,22,22
1487553881,24,24
1487561567,25,25
1487565411,27,27
1487573100,33,33
