DateTime,Entries,UniqueIPs
1486848065,450,450
1486851889,449,449
1486855754,451,451
1486859588,451,451
1486863412,450,450
1486867252,450,450
1486871085,450,450
1486874933,449,449
1486878782,451,451
1486882609,451,451
1486886516,448,448
1486890553,444,444
1486894402,442,442
1486898253,428,428
1486902089,451,451
1486905893,449,449
1486909742,449,449
1486913739,445,445
1486917626,443,443
1486921465,447,447
1486925305,447,447
1486929164,445,445
1486937077,432,432
1486940942,448,448
1486945017,447,447
1486948852,443,443
1486952911,440,440
1486956753,438,438
1486960591,450,450
1486964450,445,445
1486968283,444,444
1486972100,440,440
1486975974,436,436
1486979783,428,428
1486983694,450,450
1486987570,447,447
1486991344,450,450
1486995434,448,448
1486999501,446,446
1487003311,446,446
1487007169,436,436
1487010989,450,450
1487014825,446,446
1487018659,442,442
1487022500,442,442
1487026346,449,449
1487030194,449,449
1487034097,451,451
1487037874,446,446
1487041740,450,450
1487045576,448,448
1487049660,449,449
1487053474,444,444
1487057314,438,438
1487061176,432,432
1487065010,429,429
1487068839,426,426
1487072999,445,445
1487076767,422,422
1487080591,431,431
1487084511,446,446
1487088540,448,448
1487092364,450,450
1487096184,450,450
1487100040,444,444
1487103870,442,442
1487107595,438,438
1487115143,428,428
1487119016,447,447
1487122859,447,447
1487126675,445,445
1487130529,436,436
1487134382,424,424
1487138205,438,438
1487142142,445,445
1487146138,437,437
1487154050,415,415
1487157870,403,403
1487161729,444,444
1487165560,437,437
1487169402,445,445
1487173236,441,441
1487177087,437,437
1487184759,428,428
1487188600,447,447
1487192506,446,446
1487196295,441,441
1487203969,431,431
1487207786,446,446
1487211649,444,444
1487215466,443,443
1487226995,430,430
1487230875,446,446
1487234664,445,445
1487238510,439,439
1487246210,423,423
1487253886,398,398
1487257743,448,448
1487261572,449,449
1487265418,447,447
1487269489,439,439
1487273323,436,436
1487277160,432,432
1487280990,413,413
1487284843,447,447
1487288668,448,448
1487292511,442,442
1487296347,428,428
1487300204,422,422
1487304104,442,442
1487307875,444,444
1487311716,436,436
1487315548,433,433
1487319391,420,420
1487323237,412,412
1487327070,399,399
1487330920,393,393
1487334766,448,448
1487338614,448,448
1487342452,442,442
1487346288,450,450
1487350128,450,450
1487353956,445,445
1487357794,446,446
1487361695,441,441
1487365473,432,432
1487369327,430,430
1487373163,441,441
1487376991,438,438
1487380830,435,435
1487384662,444,444
1487388520,444,444
1487392353,442,442
1487396195,445,445
1487400017,441,441
1487403874,437,437
1487407711,429,429
1487411564,418,418
1487415403,408,408
1487419320,447,447
1487423075,443,443
1487426936,428,428
1487430765,409,409
1487434601,397,397
1487438440,389,389
1487442256,413,413
1487446103,442,442
1487449957,434,434
1487453793,423,423
1487457647,413,413
1487461476,408,408
1487465311,444,444
1487469154,442,442
1487472992,435,435
1487476903,430,430
