DateTime,Entries,UniqueIPs
1486817090,243,243
1486821205,241,241
1486825045,241,241
1486828936,240,240
1486832703,235,235
1486836538,235,235
1486844239,230,230
1486848073,228,228
1486851898,224,224
1486855765,220,220
1486859596,221,221
1486863420,222,222
1486867260,224,224
1486871095,223,223
1486874941,221,221
1486878789,223,223
1486882618,222,222
1486886524,221,221
1486890564,219,219
1486894411,218,218
1486898262,217,217
1486902098,213,213
1486905902,212,212
1486909750,211,211
1486913746,210,210
1486917635,212,212
1486921474,209,209
1486929172,207,207
1486937085,201,201
1486940951,195,195
1486945025,193,193
1486948860,194,194
1486952919,193,193
1486956765,198,198
1486960601,202,202
1486964458,207,207
1486968292,207,207
1486972109,201,201
1486975982,200,200
1486979793,199,199
1486983704,199,199
1486987586,200,200
1486991353,199,199
1486995444,198,198
1486999509,197,197
1487003321,200,200
1487007181,195,195
1487010998,193,193
1487014840,195,195
1487018668,198,198
1487022510,196,196
1487026358,196,196
1487030204,195,195
1487034107,196,196
1487037883,201,201
1487041749,203,203
1487045589,207,207
1487049671,215,215
1487053485,219,219
1487057324,221,221
1487061185,222,222
1487065020,224,224
1487068866,224,224
1487073017,221,221
1487076779,218,218
1487080600,226,226
1487084521,229,229
1487088548,239,239
1487092373,239,239
1487096196,238,238
1487100051,240,240
1487103879,239,239
1487107606,239,239
1487115153,242,242
1487119026,240,240
1487122872,237,237
1487126684,235,235
1487130537,234,234
1487134391,231,231
1487138214,230,230
1487142150,225,225
1487146147,223,223
1487154060,222,222
1487157879,219,219
1487161745,218,218
1487165576,220,220
1487169411,217,217
1487173244,210,210
1487177096,209,209
1487184769,225,225
1487188610,213,213
1487192516,226,226
1487196303,225,225
1487203978,236,236
1487211667,235,235
1487227004,232,232
1487230889,230,230
1487234673,232,232
1487238517,232,232
1487246218,229,229
1487253897,224,224
1487257753,226,226
1487261584,226,226
1487265430,229,229
1487269496,227,227
1487273331,229,229
1487277170,235,235
1487281002,243,243
1487284864,247,247
1487288678,256,256
1487292520,261,261
1487296358,261,261
1487300215,264,264
1487304115,266,266
1487307889,268,268
1487311727,272,272
1487315558,278,278
1487319403,277,277
