DateTime,Entries,UniqueIPs
1486585981,129,135
1486593181,128,134
1486596782,126,132
1486600381,128,134
1486607581,136,142
1486611181,132,138
1486614782,136,142
1486621981,132,138
1486625581,137,143
1486632781,136,142
1486636381,137,143
1486639981,136,142
1486643581,139,145
1486650781,137,143
1486657981,132,138
1486661582,132,138
1486668781,131,137
1486675981,136,143
1486679581,136,141
1486686781,136,141
1486690381,130,134
1486697581,135,139
1486701181,133,137
1486708381,129,133
1486711982,131,135
1486715581,126,130
1486719181,131,135
1486729981,128,132
1486733581,124,128
1486740781,131,136
1486744381,128,133
1486747981,130,135
1486751581,131,137
1486755182,127,133
1486758781,132,136
1486762381,130,134
1486769581,134,138
1486773181,130,134
1486780381,124,127
1486783981,121,124
1486787581,125,130
1486791181,127,132
1486794781,122,129
1486801981,129,136
1486805582,132,139
1486809181,129,136
1486812781,133,140
1486816381,134,141
1486819981,133,140
1486823581,121,127
1486827181,124,130
1486834381,125,131
1486837982,127,133
1486845181,124,130
1486848781,126,131
1486855981,130,134
1486859581,132,136
1486863181,131,135
1486866781,132,136
1486870381,134,138
1486873981,130,134
1486877581,131,135
1486881181,133,135
1486884781,127,129
1486888381,127,129
1486891981,130,133
1486899181,130,133
1486902783,128,133
1486909981,128,133
1486913581,126,131
1486917181,127,133
1486920781,131,138
1486924381,128,135
1486927981,128,135
1486931581,131,138
1486935181,130,137
1486938781,125,132
1486945982,127,133
1486949581,131,137
1486953182,129,135
1486956781,126,132
1486960381,121,127
1486963981,124,130
1486967582,125,131
1486971181,123,129
1486974782,128,134
1486978382,125,131
1486981981,132,139
1486985581,128,133
1486989181,130,135
1486992781,127,132
1486999982,129,134
1487003581,129,134
1487007181,128,132
1487010781,131,136
1487014381,128,133
1487021581,130,135
1487025181,133,138
1487028781,130,135
1487032382,128,133
1487039582,130,135
1487043181,129,134
1487046782,132,137
1487050381,130,139
1487053981,127,136
1487057581,126,135
1487064782,128,137
1487068381,126,134
1487071982,128,135
1487079181,128,135
1487082781,129,137
1487089981,129,137
1487100781,130,138
1487104381,130,138
1487107981,124,132
1487111581,132,140
1487115181,132,138
1487125981,128,134
1487129581,131,137
1487133181,123,127
1487136781,127,131
1487140381,128,132
1487147582,129,135
1487151181,138,144
1487154781,132,137
1487158381,134,140
1487161981,133,139
1487169182,132,138
1487172781,128,134
1487176381,126,132
1487179982,135,141
1487183581,136,142
1487187181,133,138
1487190781,138,143
1487194381,141,146
1487197981,136,141
1487201581,139,146
1487205181,136,141
1487212382,138,143
1487215981,129,134
1487219581,134,139
1487223181,131,137
1487230381,123,131
1487234424,126,134
1487241182,129,138
1487244781,126,135
1487248382,127,137
1487255581,126,134
1487259181,129,137
1487262782,132,140
1487266382,131,138
1487269981,132,139
1487273581,138,145
1487277181,130,137
1487280782,133,140
1487284382,124,131
1487291581,126,133
1487298782,124,131
1487302381,120,127
1487305981,125,132
1487309581,124,130
1487316781,125,131
1487320381,127,133
1487327582,129,136
1487331181,129,141
1487338381,129,141
1487341981,133,145
1487345581,127,138
1487349181,131,142
1487352782,131,138
1487359982,130,138
1487363581,133,141
1487367181,125,132
1487370781,127,134
1487374381,123,130
1487388781,125,132
1487392381,119,124
1487395981,121,127
1487399581,120,126
1487403181,120,126
1487410381,124,130
1487413981,119,125
1487421181,120,126
1487428381,117,124
1487431981,120,127
1487435581,121,128
1487439181,120,127
1487442781,120,129
1487446382,124,133
1487449981,120,128
1487453581,124,132
1487457182,124,132
1487460781,124,131
1487464381,125,132
1487471582,129,138
1487475181,125,134
1487478781,127,136
1487482381,126,135
1487485981,118,127
1487489582,123,132
1487493181,127,136
1487496781,125,133
1487500381,123,131
1487507581,124,130
1487511181,125,131
1487518381,126,131
1487521982,132,138
1487529181,133,139
1487532781,129,135
1487539982,128,134
1487543581,127,134
1487550782,127,134
1487554381,128,136
1487557981,122,130
1487561581,126,134
1487565181,125,132
1487572381,127,134
1487575982,126,132
1487579581,124,129
1487583181,130,136
1487586781,129,135
1487593981,129,136
1487597581,127,134
1487601181,126,133
1487604781,130,137
1487608381,125,130
1487611981,126,131
1487615581,124,129
1487622781,120,125
1487626381,122,127
1487629981,120,125
1487633581,121,126
1487637181,121,126
1487640781,117,122
1487644382,123,128
1487647982,121,126
1487655181,120,125
1487658781,123,128
1487665982,127,132
1487669581,125,130
1487676781,125,129
1487680382,129,133
1487683982,126,130
1487687582,132,136
1487691181,128,132
1487694781,128,131
1487698381,125,128
1487701981,128,131
1487705581,124,127
1487712781,126,129
1487716381,124,127
1487723581,127,130
1487727181,123,126
1487734381,127,130
1487737982,124,126
1487741581,126,130
1487745181,129,133
1487748781,132,136
1487752381,130,134
1487755981,131,135
1487766781,134,138
1487770381,128,131
1487773981,131,134
1487777581,131,134
1487781181,138,141
1487788382,140,143
1487791981,145,148
1487795581,140,143
1487799181,141,144
1487802782,143,146
1487806381,140,143
1487809981,145,148
