DateTime,AddedIPs,RemovedIPs
1486096381,3,3
1486103581,11,8
1486110782,5,4
1486114381,11,12
1486121581,13,15
1486128781,9,6
1486132381,7,10
1486139581,13,8
1486146781,8,10
1486150381,11,11
1486157581,9,9
1486164781,10,10
1486171981,16,17
1486179181,8,7
1486186381,14,15
1486193582,15,13
1486200781,9,9
1486204381,8,7
1486211581,7,9
1486218782,16,17
1486225981,4,7
1486229581,7,4
1486236781,14,11
1486240381,9,9
1486247581,8,7
1486254782,2,4
1486261981,12,12
1486269181,7,7
1486276381,8,9
1486283581,12,11
1486290781,10,10
1486294381,6,6
1486301581,9,8
1486308781,10,15
1486315981,9,6
1486319581,6,5
1486326781,9,8
1486333981,14,13
1486341182,9,11
1486348381,6,12
1486355581,13,10
1486359623,11,12
1486366381,5,7
1486369981,6,6
1486377181,7,8
1486380781,8,6
1486387981,7,4
1486395181,10,9
1486398781,9,13
1486405981,9,9
1486413182,7,6
1486416781,7,8
1486420381,12,9
1486427581,12,14
1486434781,5,3
1486438381,4,5
1486445581,15,12
1486449181,9,12
1486456382,5,5
1486459982,10,9
1486467182,7,10
1486474381,8,6
1486477981,7,7
1486485181,7,7
1486492381,15,14
1486499581,7,7
1486506781,6,11
1486513981,4,4
1486517581,4,5
1486524781,9,6
1486528381,6,5
1486535581,14,13
1486539181,4,4
1486546381,8,8
1486549981,12,13
1486557181,4,4
1486564381,12,10
1486571581,13,13
1486575181,9,9
1486582381,10,12
1486585981,6,3
1486593181,7,11
1486600381,11,6
1486607581,16,19
1486614782,11,10
1486618381,5,6
1486625581,14,14
1486632781,10,8
1486636381,6,6
1486643581,7,7
1486650781,12,10
1486657981,7,8
1486661582,4,5
1486668781,11,10
1486675981,10,12
1486679581,9,10
1486686781,3,6
1486690381,6,6
1486697581,12,12
1486701181,7,7
1486708381,4,3
1486711982,12,9
1486719181,10,9
1486722781,6,7
1486729981,4,4
1486733581,3,4
1486740781,16,16
1486747981,5,6
1486751581,3,2
1486758781,14,11
1486762381,6,9
1486769581,12,12
1486773181,3,4
1486780381,6,5
1486787581,13,11
1486791181,7,7
1486794781,5,5
1486801981,11,13
1486805582,8,9
1486812781,9,8
1486816381,10,9
1486823581,5,4
1486827181,7,6
1486834381,11,12
1486837982,5,5
1486845181,4,3
1486848781,9,9
1486855981,16,15
1486859581,6,6
1486866781,3,3
1486870381,11,12
1486877581,10,10
1486881181,6,6
1486888381,6,8
1486891981,10,10
1486899181,8,5
1486902783,5,6
1486909981,6,6
1486917181,15,15
1486920781,7,9
1486927981,1,0
1486931581,7,9
1486938781,12,10
1486945982,7,7
1486949581,6,7
1486956781,5,4
1486963981,15,14
1486967582,3,5
1486974782,13,14
1486981981,16,15
1486989181,5,7
1486992781,5,5
1486999982,4,3
1487003581,16,18
1487010781,7,6
1487014381,3,3
1487021581,15,11
1487025181,10,10
1487032382,6,7
1487039582,6,5
1487046782,13,16
1487050381,7,8
1487057581,4,4
1487064782,8,8
1487068381,6,5
1487071982,9,8
1487079181,5,8
1487082781,9,7
1487089981,14,15
1487093581,3,4
1487100781,6,4
1487104381,10,8
1487111581,18,17
1487115181,5,6
1487122381,6,7
1487129581,11,15
1487136781,7,7
1487140381,6,6
1487147582,11,11
1487151181,16,13
1487158381,9,8
1487161981,4,4
1487169182,8,7
1487172781,6,6
1487179982,11,10
1487183581,2,1
1487190781,8,9
1487194381,9,8
1487201581,15,17
1487205181,4,3
1487212382,3,3
1487219581,12,12
1487223181,5,6
1487230381,3,3
1487234424,10,11
1487241182,10,11
1487248382,4,4
1487255581,6,4
1487259181,14,13
1487262782,10,8
1487269981,8,9
1487273581,8,10
1487280782,12,10
1487284382,5,7
1487291581,8,8
1487298782,3,3
1487305981,14,13
1487309581,4,4
1487316781,4,5
1487320381,14,14
1487327582,7,7
1487331181,9,9
1487338381,6,5
1487341981,14,13
1487349181,9,9
1487352782,2,2
1487359982,5,3
1487363581,11,11
1487370781,7,9
1487374381,3,3
1487381581,3,3
1487388781,9,9
1487395981,6,7
1487399581,5,5
1487403181,10,11
1487410381,10,8
1487413981,8,7
1487421181,7,6
1487428381,6,7
1487431981,11,10
1487435581,4,5
1487442781,4,4
1487446382,8,9
1487453581,12,11
1487457182,6,6
1487464381,6,6
1487471582,13,14
1487478781,4,5
1487482381,5,5
1487489582,12,12
1487493181,9,11
1487500381,5,5
1487503981,2,2
1487511181,9,7
1487518381,11,11
1487521982,10,9
1487529181,4,5
1487532781,6,6
1487539982,9,12
1487543581,5,4
1487550782,6,5
1487554381,8,9
1487561581,10,9
1487565181,1,1
1487572381,8,9
1487575982,9,11
1487583181,16,10
1487586781,3,3
1487593981,5,5
1487601181,10,10
1487604781,9,11
1487611981,3,3
1487615581,9,8
1487622781,14,14
1487626381,7,7
1487633581,2,3
1487637181,6,8
1487644382,14,15
1487647982,3,3
1487655181,5,6
1487658781,12,9
1487665982,13,11
1487669581,6,6
1487676781,1,1
1487680382,9,8
1487687582,17,15
1487694781,4,5
1487701981,11,10
1487705581,6,8
1487712781,9,8
1487716381,2,2
1487723581,9,10
1487727181,7,7
1487734381,9,8
1487741581,7,7
1487745181,9,12
1487748781,5,6
1487755981,6,6
1487759581,4,2
1487766781,12,15
1487773981,8,7
1487777581,4,7
1487781181,14,11
1487788382,14,15
1487791981,8,9
1487799181,4,3
1487802782,6,6
1487809981,14,14
1487813581,10,9
1487820781,4,6
1487824382,10,8
1487831581,10,12
1487835181,3,4
1487842382,5,5
1487845982,9,9
1487853181,7,5
1487856781,8,5
1487863981,12,13
1487867581,11,8
1487874781,8,8
1487878381,4,5
1487885581,11,11
1487889181,15,12
1487896381,8,13
1487899981,4,2
1487907181,13,10
1487910781,8,11
1487917981,5,4
1487921581,1,1
1487928781,9,9
1487932381,8,8
1487939581,1,1
1487943181,9,10
1487950381,13,12
1487953982,11,12
1487961181,3,6
1487964781,7,7
1487971982,9,12
1487975581,7,6
1487982781,1,0
1487986381,9,8
1487993581,13,15
1487997181,9,7
1488004381,7,5
1488007981,11,10
1488015182,8,9
1488018781,7,8
1488025981,8,8
1488029581,9,8
1488036781,14,14
1488040382,2,2
1488047581,7,8
1488051181,7,8
1488058381,9,9
1488061982,2,2
1488069181,15,16
1488072781,5,4
1488079981,8,7
1488083581,12,11
1488090781,8,8
1488094381,2,2
1488101581,12,12
1488105181,4,5
1488112381,12,10
1488115981,9,10
1488123181,8,7
1488126782,11,10
1488133981,7,8
1488137582,7,5
1488144781,13,13
1488148381,5,7
1488155581,5,4
1488159182,9,9
1488166382,8,10
1488169981,3,3
1488177181,2,2
1488180781,10,9
1488187981,8,8
1488191581,9,10
1488198781,7,9
1488202382,10,11
1488209581,8,5
1488213181,5,5
1488220381,10,8
1488223981,14,18
1488231181,8,6
1488234781,8,5
1488241981,10,13
1488245581,9,11
1488252781,6,8
1488256381,3,3
1488263581,10,9
1488267181,7,9
1488274381,9,6
1488277981,15,11
1488285182,7,7
1488288781,8,8
1488295981,5,4
1488299581,14,15
1488306781,11,13
1488310381,11,9
1488317581,4,6
1488321181,7,11
1488328381,10,6
1488331981,7,10
1488339181,5,7
1488342781,14,15
1488349981,7,6
1488353581,3,2
1488360782,14,13
1488364381,8,8
1488371581,4,3
1488375181,5,7
1488382381,15,15
1488385981,10,9
1488393181,0,3
1488396781,7,8
1488403981,15,12
1488407581,7,7
1488414781,2,4
1488418381,6,5
1488425581,13,14
1488429181,6,5
1488436381,3,3
1488439982,10,9
1488447181,13,10
1488450781,3,6
1488457981,3,4
1488461581,15,18
1488468781,9,11
1488472381,2,3
1488479581,10,9
1488483181,10,10
1488490382,13,8
1488493982,5,4
1488501181,12,9
1488504781,5,7
1488511981,10,12
1488515582,7,7
1488522781,16,16
1488526381,6,7
1488533581,6,5
1488537181,6,5
1488544381,10,14
1488547981,8,10
1488555181,6,5
1488558781,15,13
1488565982,6,6
1488569581,3,3
1488576782,4,6
1488580381,18,13
1488587581,12,13
1488591181,2,2
1488598381,16,16
1488601981,10,13
1488609181,5,5
1488612781,4,4
1488616381,2,2
1488619981,11,9
1488623581,7,9
1488630781,7,5
1488634381,3,6
1488641581,11,10
1488645181,6,8
1488652381,8,8
1488655981,8,8
1488663181,10,10
1488666781,8,7
1488670381,2,3
1488677581,16,14
1488681181,13,11
1488684781,7,7
1488688381,2,3
1488691981,5,5
1488695581,11,9
1488702781,8,11
1488706381,6,5
1488709981,3,3
1488713581,10,11
1488720781,7,9
1488724381,7,7
1488727981,4,5
1488731581,4,4
1488735181,9,7
1488738781,13,8
1488742381,5,4
1488745981,10,8
1488753181,9,10
1488756781,16,18
1488763981,1,2
1488767581,9,12
1488774781,10,10
1488778381,15,13
1488781981,5,7
1488785581,2,1
1488789182,8,9
1488792782,7,10
1488796381,7,6
1488799981,8,5
1488803581,8,6
1488810782,10,8
1488814381,8,8
1488821581,8,12
1488825182,9,7
1488832381,4,5
1488835981,12,13
1488843181,10,6
1488846781,9,9
1488853981,8,9
1488857581,10,12
